#=====================================================
# File created:        Fri-08-Mar-2024-at-02-21-30PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.779589
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2377.7499  0.2583 
   00001    0.6836   -3228.6535  0.2589 
   00002    0.6204   -3750.6707  0.2518 
   00003    0.5784   -4237.1664  0.2543 
   00004    0.5344   -4536.6876  0.2616 
   00005    0.5032   -4782.7474  0.2753 
   00006    0.4784   -5053.0963  0.2752 
   00007    0.4772   -5145.0899  0.2826 
   00008    0.4308   -5318.6651  0.2871 
   00009    0.4308   -5368.6809  0.2873 
   00010    0.4416   -5476.6088  0.2887 
   00011    0.4464   -5586.0359  0.2913 
   00012    0.4004   -5712.8118  0.2956 
   00013    0.4264   -5778.1122  0.2949 
   00014    0.4068   -5817.4249  0.3006 
   00015    0.3960   -5870.6025  0.3034 
   00016    0.3880   -5951.8288  0.3080 
   00017    0.3720   -5993.3851  0.3158 
   00018    0.3728   -5994.5605  0.3199 
   00019    0.3756   -6009.7392  0.3256 
   00020    0.3768   -6040.7695  0.3268 
   00021    0.4060   -6145.2479  0.3277 
   00022    0.3768   -6188.4049  0.3311 
   00023    0.3904   -6198.9560  0.3345 
   00024    0.3672   -6227.1902  0.3311 
   00025    0.3812   -6172.8898  0.3272 
   00026    0.3756   -6189.1608  0.3249 
   00027    0.3728   -6212.1942  0.3212 
   00028    0.3764   -6272.5970  0.3169 
   00029    0.3720   -6304.7169  0.3171 
   00030    0.3636   -6284.8423  0.3142 
   00031    0.3832   -6286.0602  0.3185 
   00032    0.3576   -6336.3928  0.3104 
   00033    0.3464   -6325.4785  0.3147 
   00034    0.3872   -6344.4461  0.3197 
   00035    0.3672   -6341.6094  0.3151 
   00036    0.3564   -6305.9471  0.3159 
   00037    0.3548   -6317.5912  0.3186 
   00038    0.3704   -6282.1799  0.3206 
   00039    0.3668   -6360.2265  0.3193 
   00040    0.3832   -6415.9013  0.3184 
   00041    0.3644   -6456.9153  0.3182 
   00042    0.3776   -6459.7680  0.3209 
   00043    0.3492   -6404.2823  0.3217 
   00044    0.3744   -6394.0070  0.3167 
   00045    0.3592   -6400.5333  0.3225 
   00046    0.3400   -6322.3949  0.3264 
   00047    0.3828   -6330.5187  0.3207 
   00048    0.3668   -6353.2790  0.3229 
   00049    0.3688   -6363.6112  0.3214 
   00050    0.3740   -6391.9364  0.3223 
