#=====================================================
# File created:        Fri-08-Mar-2024-at-11-48-52AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.300985
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2553.1835  0.2561 
   00001    0.6836   -3813.4500  0.2593 
   00002    0.6140   -4534.2538  0.2613 
   00003    0.5708   -5056.2871  0.2645 
   00004    0.5652   -5514.2768  0.2675 
   00005    0.5232   -5822.6481  0.2707 
   00006    0.5292   -6074.0710  0.2728 
   00007    0.5028   -6344.0937  0.2726 
   00008    0.5072   -6508.8300  0.2763 
   00009    0.4864   -6628.5123  0.2744 
   00010    0.5016   -6798.4839  0.2759 
   00011    0.4704   -6991.1696  0.2749 
   00012    0.4632   -7085.7288  0.2753 
   00013    0.4760   -7153.5915  0.2776 
   00014    0.4652   -7173.4883  0.2787 
   00015    0.4580   -7270.6544  0.2776 
   00016    0.4552   -7317.2712  0.2768 
   00017    0.4576   -7410.3912  0.2766 
   00018    0.4532   -7480.8787  0.2779 
   00019    0.4408   -7524.7651  0.2817 
   00020    0.4444   -7494.7477  0.2840 
   00021    0.4592   -7506.2134  0.2883 
   00022    0.4680   -7595.5833  0.2902 
   00023    0.4328   -7605.9805  0.2927 
   00024    0.4428   -7636.2353  0.2946 
   00025    0.4464   -7669.0817  0.2944 
   00026    0.4340   -7736.4492  0.2944 
   00027    0.4484   -7761.6963  0.2968 
   00028    0.4264   -7780.1805  0.2935 
   00029    0.4396   -7819.2077  0.2949 
   00030    0.4200   -7829.0594  0.2948 
   00031    0.4404   -7780.7459  0.2947 
   00032    0.4628   -7854.7018  0.2948 
   00033    0.4216   -7898.9021  0.2972 
   00034    0.4276   -7896.7325  0.2974 
   00035    0.4404   -7930.5708  0.2974 
   00036    0.4260   -7918.7597  0.2973 
   00037    0.4300   -7878.4346  0.2953 
   00038    0.4336   -7926.9858  0.2958 
   00039    0.4336   -7972.7757  0.2976 
   00040    0.4268   -7981.3102  0.2981 
   00041    0.4276   -8004.6419  0.2984 
   00042    0.4248   -8011.9314  0.2949 
   00043    0.4256   -8001.3557  0.2961 
   00044    0.4268   -7996.8923  0.2959 
   00045    0.4264   -8028.8914  0.2962 
   00046    0.4460   -8047.4880  0.2955 
   00047    0.4200   -8057.4271  0.2958 
   00048    0.4068   -7988.8279  0.2950 
   00049    0.4368   -8017.4181  0.2957 
   00050    0.4556   -8002.5173  0.2969 
