#=====================================================
# File created:        Mon-11-Mar-2024-at-05-58-25PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.297219
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2631.2324  0.2594 
   00001    0.6876   -3828.1235  0.2578 
   00002    0.6164   -4563.6436  0.2674 
   00003    0.6136   -5179.1855  0.2694 
   00004    0.5540   -5586.9717  0.2851 
   00005    0.5280   -5929.5078  0.2890 
   00006    0.5140   -6204.0176  0.2885 
   00007    0.5040   -6421.2153  0.2971 
   00008    0.4924   -6648.9629  0.2994 
   00009    0.4724   -6767.2104  0.3001 
   00010    0.4620   -6899.9106  0.3004 
   00011    0.4684   -7085.8198  0.3029 
   00012    0.4656   -7138.3110  0.3071 
   00013    0.4604   -7228.6157  0.3040 
   00014    0.4480   -7322.3950  0.3078 
   00015    0.4588   -7340.0361  0.3009 
   00016    0.4592   -7375.6826  0.3014 
   00017    0.4696   -7435.8384  0.3075 
   00018    0.4552   -7519.8110  0.3119 
   00019    0.4644   -7551.0244  0.3137 
   00020    0.4576   -7597.8965  0.3108 
   00021    0.4484   -7629.1724  0.3086 
   00022    0.4596   -7679.7188  0.3099 
   00023    0.4488   -7710.6216  0.3108 
   00024    0.4496   -7714.2329  0.3040 
   00025    0.4200   -7777.8701  0.3077 
   00026    0.4436   -7824.3965  0.3101 
   00027    0.4292   -7931.7334  0.3117 
   00028    0.4368   -7899.2109  0.3126 
   00029    0.4328   -7921.2202  0.3131 
   00030    0.4404   -7945.2324  0.3172 
   00031    0.4212   -7958.1270  0.3210 
   00032    0.4180   -7964.7539  0.3193 
   00033    0.4300   -7918.7534  0.3198 
   00034    0.4396   -7950.7944  0.3276 
   00035    0.4320   -7995.9116  0.3307 
   00036    0.4388   -7985.4819  0.3361 
   00037    0.4296   -8047.0435  0.3323 
   00038    0.4192   -8057.8164  0.3328 
   00039    0.4160   -8003.8911  0.3334 
   00040    0.4240   -7940.5669  0.3324 
   00041    0.4372   -7955.1426  0.3257 
   00042    0.4240   -8007.7598  0.3323 
   00043    0.4272   -8004.6519  0.3301 
   00044    0.4452   -8066.4126  0.3312 
   00045    0.4244   -8065.1431  0.3348 
   00046    0.4424   -8051.5259  0.3335 
   00047    0.4176   -8064.2568  0.3323 
   00048    0.4248   -8052.0361  0.3323 
   00049    0.4216   -8088.6782  0.3411 
   00050    0.4132   -8074.9429  0.3394 
