#=====================================================
# File created:        Thu-07-Mar-2024-at-05-30-04PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.870343
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2504.2517  0.2609 
   00001    0.6636   -3739.5999  0.2686 
   00002    0.5988   -4582.9829  0.2754 
   00003    0.5812   -5154.0019  0.2859 
   00004    0.5608   -5658.4562  0.2871 
   00005    0.5260   -6006.2211  0.2865 
   00006    0.4968   -6262.3643  0.3011 
   00007    0.5024   -6419.2403  0.3073 
   00008    0.4980   -6635.2352  0.3095 
   00009    0.5056   -6823.1179  0.3127 
   00010    0.4752   -6937.3229  0.3152 
   00011    0.4676   -7072.6562  0.3115 
   00012    0.4744   -7156.2206  0.3072 
   00013    0.4548   -7233.2703  0.3119 
   00014    0.4592   -7308.2662  0.3131 
   00015    0.4648   -7342.9923  0.3138 
   00016    0.4612   -7428.9677  0.3222 
   00017    0.4512   -7509.0069  0.3223 
   00018    0.4532   -7552.7659  0.3298 
   00019    0.4492   -7603.0596  0.3340 
   00020    0.4456   -7638.4555  0.3320 
   00021    0.4364   -7691.8109  0.3326 
   00022    0.4536   -7700.1974  0.3313 
   00023    0.4336   -7747.0409  0.3367 
   00024    0.4428   -7815.3198  0.3367 
   00025    0.4448   -7796.5028  0.3381 
   00026    0.4336   -7840.0600  0.3399 
   00027    0.4248   -7862.9864  0.3449 
   00028    0.4312   -7826.8958  0.3550 
   00029    0.4368   -7851.2718  0.3644 
   00030    0.4116   -7952.4766  0.3653 
   00031    0.4388   -7983.2710  0.3680 
   00032    0.4336   -7958.4865  0.3690 
   00033    0.4412   -8034.6031  0.3736 
   00034    0.4404   -8039.4222  0.3781 
   00035    0.4380   -8060.4894  0.3786 
   00036    0.4292   -8119.6832  0.3813 
   00037    0.4288   -8120.1877  0.3790 
   00038    0.4448   -8193.7774  0.3740 
   00039    0.4264   -8192.9903  0.3812 
   00040    0.4372   -8159.2901  0.3808 
   00041    0.4108   -8211.5080  0.3878 
   00042    0.4132   -8198.2075  0.3850 
   00043    0.4084   -8173.3712  0.3897 
   00044    0.4380   -8202.3929  0.3917 
   00045    0.4304   -8214.7088  0.3948 
   00046    0.4312   -8240.3197  0.4026 
   00047    0.4364   -8257.6015  0.3975 
   00048    0.4276   -8222.0187  0.3979 
   00049    0.4220   -8234.4029  0.3952 
   00050    0.4136   -8263.3848  0.3964 
