#=====================================================
# File created:        Tue-12-Mar-2024-at-11-39-10AM
# Size of lattice:     50x50
# Number of MC steps:  1000
# Reduced temperature: 1.000
# Run time (s):        39.420944
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2563.0228  0.2535 
   00001    0.6720   -3896.5095  0.2547 
   00002    0.6064   -4499.7518  0.2584 
   00003    0.5920   -4717.5566  0.2620 
   00004    0.5544   -4937.2788  0.2616 
   00005    0.5784   -5046.0832  0.2608 
   00006    0.5440   -5106.0000  0.2651 
   00007    0.5396   -5231.5286  0.2624 
   00008    0.5560   -5361.0107  0.2686 
   00009    0.5096   -5413.8038  0.2630 
   00010    0.5364   -5422.7682  0.2638 
   00011    0.5420   -5429.2642  0.2595 
   00012    0.5220   -5494.1867  0.2605 
   00013    0.5208   -5565.9934  0.2617 
   00014    0.5000   -5584.8631  0.2615 
   00015    0.5016   -5663.9000  0.2634 
   00016    0.5132   -5765.2120  0.2628 
   00017    0.5016   -5796.6316  0.2638 
   00018    0.5148   -5717.3891  0.2624 
   00019    0.5192   -5830.2413  0.2668 
   00020    0.4904   -5843.7796  0.2684 
   00021    0.4872   -5805.4935  0.2692 
   00022    0.4952   -5889.4148  0.2666 
   00023    0.4896   -5950.1041  0.2649 
   00024    0.5008   -5881.6832  0.2667 
   00025    0.4896   -5884.2269  0.2657 
   00026    0.4864   -5846.1385  0.2688 
   00027    0.5008   -5930.1921  0.2658 
   00028    0.4932   -5977.4082  0.2668 
   00029    0.5028   -5917.0478  0.2688 
   00030    0.4972   -5870.1430  0.2703 
   00031    0.4852   -5936.2920  0.2713 
   00032    0.4780   -5975.5652  0.2710 
   00033    0.4732   -5963.4137  0.2716 
   00034    0.5080   -5962.7733  0.2727 
   00035    0.4724   -5950.5765  0.2721 
   00036    0.5064   -5905.8420  0.2726 
   00037    0.4956   -6011.7714  0.2738 
   00038    0.4752   -6056.8649  0.2716 
   00039    0.4688   -6045.5482  0.2697 
   00040    0.4868   -6100.4869  0.2703 
   00041    0.4956   -6006.5037  0.2671 
   00042    0.4916   -5980.9768  0.2680 
   00043    0.4932   -5888.2234  0.2664 
