#=====================================================
# File created:        Tue-12-Mar-2024-at-12-31-58PM
# Size of lattice:     50x50
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        13.547486
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2454.0304  0.7583 
   00001    0.6860   -3732.0368  0.7632 
   00002    0.6204   -4560.9111  0.7704 
   00003    0.5840   -5124.6865  0.7812 
   00004    0.5612   -5545.9944  0.7957 
   00005    0.5360   -5902.3369  0.8019 
   00006    0.5268   -6145.2066  0.8053 
   00007    0.4960   -6375.2272  0.8119 
   00008    0.4780   -6513.6860  0.8076 
   00009    0.4972   -6650.8772  0.8150 
   00010    0.4840   -6799.2260  0.8170 
   00011    0.4824   -6899.8035  0.8216 
   00012    0.4808   -6998.4664  0.8284 
   00013    0.4868   -7113.3378  0.8333 
   00014    0.4768   -7222.5492  0.8401 
   00015    0.4476   -7353.2309  0.8414 
   00016    0.4568   -7439.1919  0.8400 
   00017    0.4520   -7505.7240  0.8449 
   00018    0.4440   -7562.2097  0.8433 
   00019    0.4680   -7627.4193  0.8419 
   00020    0.4468   -7630.3725  0.8518 
   00021    0.4564   -7646.7731  0.8533 
   00022    0.4340   -7685.4544  0.8608 
   00023    0.4360   -7774.3439  0.8673 
   00024    0.4468   -7772.1686  0.8646 
   00025    0.4456   -7762.1515  0.8601 
   00026    0.4552   -7815.5930  0.8667 
   00027    0.4296   -7899.8922  0.8655 
   00028    0.4352   -7915.9201  0.8729 
   00029    0.4376   -7886.7969  0.8728 
   00030    0.4272   -7960.5378  0.8771 
   00031    0.4236   -7957.7229  0.8770 
   00032    0.4360   -8019.6170  0.8736 
   00033    0.4220   -8020.5286  0.8742 
   00034    0.4128   -8002.6419  0.8885 
   00035    0.4372   -8003.4221  0.8899 
   00036    0.4248   -8000.4911  0.8857 
   00037    0.4304   -8003.7793  0.8846 
   00038    0.4308   -8036.6808  0.8942 
   00039    0.4152   -8104.1439  0.8968 
   00040    0.4216   -8149.7077  0.8977 
   00041    0.4320   -8180.3987  0.8992 
   00042    0.4440   -8166.0401  0.8981 
   00043    0.4224   -8125.6093  0.8977 
   00044    0.4216   -8077.0477  0.8985 
   00045    0.4132   -8082.0769  0.8995 
   00046    0.4328   -8069.8817  0.9013 
   00047    0.4180   -8093.8710  0.8997 
   00048    0.4304   -8087.0702  0.8965 
   00049    0.4260   -8080.2149  0.8979 
   00050    0.4312   -8096.4070  0.8960 
   00051    0.4224   -8159.2342  0.9055 
   00052    0.4268   -8141.3907  0.9037 
   00053    0.4372   -8136.5079  0.9077 
   00054    0.4260   -8088.3198  0.9148 
   00055    0.4304   -8071.8378  0.9117 
   00056    0.4272   -8111.6669  0.9097 
   00057    0.4072   -8116.5694  0.9100 
   00058    0.4240   -8149.8822  0.9199 
   00059    0.4252   -8192.0400  0.9312 
   00060    0.4252   -8164.3145  0.9266 
   00061    0.4072   -8198.9819  0.9255 
   00062    0.4292   -8223.4804  0.9340 
   00063    0.4276   -8197.1870  0.9431 
   00064    0.4220   -8222.5967  0.9425 
   00065    0.4248   -8275.3035  0.9456 
   00066    0.4328   -8236.2100  0.9489 
   00067    0.4112   -8198.7175  0.9445 
   00068    0.4356   -8225.9282  0.9428 
   00069    0.4332   -8231.7416  0.9414 
   00070    0.4476   -8236.3877  0.9410 
   00071    0.4260   -8263.7280  0.9443 
   00072    0.4232   -8307.2855  0.9428 
   00073    0.4016   -8294.6810  0.9461 
   00074    0.4200   -8293.9152  0.9475 
   00075    0.4060   -8295.5407  0.9432 
   00076    0.4140   -8289.7520  0.9467 
   00077    0.4236   -8306.7082  0.9485 
   00078    0.4232   -8268.1273  0.9468 
   00079    0.4216   -8288.2573  0.9418 
   00080    0.4096   -8334.7188  0.9427 
   00081    0.4296   -8324.6845  0.9481 
   00082    0.4160   -8307.4246  0.9541 
   00083    0.4332   -8344.8546  0.9575 
   00084    0.4248   -8331.2359  0.9565 
   00085    0.4144   -8299.5549  0.9612 
   00086    0.4180   -8249.2172  0.9544 
   00087    0.4156   -8260.1648  0.9534 
   00088    0.4284   -8302.1112  0.9579 
   00089    0.4148   -8268.9054  0.9584 
   00090    0.4252   -8300.5967  0.9579 
   00091    0.4144   -8330.2592  0.9649 
   00092    0.4124   -8305.6844  0.9611 
   00093    0.4308   -8264.5949  0.9571 
   00094    0.4136   -8286.2204  0.9643 
   00095    0.4184   -8277.5934  0.9657 
   00096    0.4144   -8272.1795  0.9670 
   00097    0.4156   -8246.7635  0.9666 
   00098    0.4372   -8242.3105  0.9677 
   00099    0.4312   -8259.5955  0.9700 
   00100    0.4288   -8298.3674  0.9748 
