LebwohlLasher_Numpy.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.299, Time: 0.988366 s
         1726209 function calls (1700215 primitive calls) in 40.372 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2   36.007   18.004   37.911   18.955 {method 'mainloop' of '_tkinter.tkapp' objects}
   127600    0.949    0.000    0.949    0.000 LebwohlLasher_Numpy.py:101(one_energy)
     1150    0.294    0.000    0.332    0.000 {method 'call' of '_tkinter.tkapp' objects}
        2    0.173    0.087    0.173    0.087 {built-in method _tkinter.create}
      322    0.095    0.000    0.095    0.000 {built-in method marshal.loads}
     1576    0.089    0.000    0.089    0.000 {built-in method posix.stat}
       34    0.073    0.002    0.075    0.002 {built-in method _imp.create_dynamic}
6381/5600    0.054    0.000    0.144    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     6796    0.053    0.000    0.091    0.000 inspect.py:625(cleandoc)
      450    0.052    0.000    0.277    0.001 ticker.py:624(format_data_short)
     8485    0.048    0.000    0.063    0.000 {built-in method builtins.any}
        3    0.048    0.016    0.057    0.019 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     7610    0.043    0.000    0.217    0.000 path.py:99(__init__)
     7901    0.042    0.000    0.042    0.000 {method 'copy' of 'numpy.ndarray' objects}
       51    0.040    0.001    0.933    0.018 LebwohlLasher_Numpy.py:132(all_energy)
     7616    0.038    0.000    0.105    0.000 __init__.py:134(check_shape)
     4132    0.038    0.000    0.044    0.000 transforms.py:194(set_children)
     5310    0.034    0.000    0.034    0.000 {method 'getint' of '_tkinter.tkapp' objects}
      407    0.034    0.000    0.106    0.000 __init__.py:1547(_substitute)
     2719    0.030    0.000    0.030    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        3    0.029    0.010    0.029    0.010 {built-in method matplotlib.backends._tkagg.blit}
1238/1125    0.027    0.000    0.373    0.000 {built-in method builtins.__build_class__}
    80548    0.026    0.000    0.041    0.000 {built-in method builtins.isinstance}
     5013    0.026    0.000    0.072    0.000 transforms.py:1889(__init__)
      376    0.024    0.000    0.027    0.000 {built-in method matplotlib._path.point_in_path}
1961/1949    0.024    0.000    0.378    0.000 __init__.py:301(process)
    75578    0.023    0.000    0.030    0.000 {built-in method builtins.getattr}
1997/1066    0.021    0.000    0.082    0.000 transforms.py:2444(get_affine)
    22607    0.021    0.000    0.048    0.000 __init__.py:729(__getitem__)
     9273    0.021    0.000    0.021    0.000 {method 'search' of 're.Pattern' objects}
        3    0.020    0.007    0.031    0.010 quiver.py:607(_make_verts)
     9843    0.019    0.000    0.020    0.000 {built-in method numpy.asarray}
      360    0.019    0.000    0.019    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
      592    0.019    0.000    0.019    0.000 {method 'read' of '_io.BufferedReader' objects}
      428    0.019    0.000    0.019    0.000 {built-in method builtins.dir}
     6857    0.018    0.000    0.029    0.000 transforms.py:1772(__init__)
