         952258 function calls (938251 primitive calls) in 1.440 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    29/24    0.470    0.016    0.482    0.020 {built-in method _imp.exec_dynamic}
     6793    0.064    0.000    0.109    0.000 inspect.py:625(cleandoc)
     1395    0.061    0.000    0.061    0.000 {built-in method posix.stat}
      291    0.060    0.000    0.060    0.000 {built-in method marshal.loads}
      291    0.050    0.000    0.050    0.000 {method 'read' of '_io.BufferedReader' objects}
       29    0.043    0.001    0.043    0.001 {built-in method _imp.create_dynamic}
     5000    0.033    0.000    0.033    0.000 LebwohlLasher_mpi4py.py:137(one_energy)
     9273    0.024    0.000    0.024    0.000 {method 'search' of 're.Pattern' objects}
      427    0.023    0.000    0.023    0.000 {built-in method builtins.dir}
1141/1031    0.021    0.000    0.425    0.000 {built-in method builtins.__build_class__}
    63997    0.015    0.000    0.015    0.000 {built-in method builtins.getattr}
     4050    0.015    0.000    0.167    0.000 artist.py:1474(get_valid_values)
      213    0.014    0.000    0.049    0.000 artist.py:1521(get_setters)
    86643    0.013    0.000    0.013    0.000 {method 'startswith' of 'str' objects}
      213    0.013    0.000    0.076    0.000 artist.py:1446(get_aliases)
      213    0.012    0.000    0.024    0.000 artist.py:1457(<listcomp>)
139156/138053    0.012    0.000    0.012    0.000 {built-in method builtins.len}
        1    0.012    0.012    0.012    0.012 image.py:1420(BboxImage)
      291    0.012    0.000    0.012    0.000 {built-in method io.open_code}
  479/209    0.011    0.000    0.028    0.000 sre_parse.py:493(_parse)
    52321    0.011    0.000    0.011    0.000 {built-in method builtins.min}
       30    0.009    0.000    0.014    0.000 enum.py:157(__new__)
    56028    0.009    0.000    0.012    0.000 {built-in method builtins.isinstance}
    73970    0.009    0.000    0.009    0.000 {method 'lstrip' of 'str' objects}
     6499    0.009    0.000    0.015    0.000 inspect.py:2489(__init__)
      206    0.009    0.000    0.039    0.000 sre_parse.py:937(parse)
      963    0.008    0.000    0.011    0.000 inspect.py:2772(__init__)
15427/15418    0.008    0.000    0.010    0.000 {method 'join' of 'str' objects}
      690    0.008    0.000    0.020    0.000 inspect.py:2124(_signature_from_function)
     7092    0.007    0.000    0.070    0.000 re.py:289(_compile)
      589    0.007    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
     8261    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
     6764    0.007    0.000    0.103    0.000 inspect.py:606(getdoc)
      112    0.007    0.000    0.203    0.002 artist.py:1602(pprint_setters)
  776/710    0.006    0.000    0.031    0.000 inspect.py:2218(_signature_from_callable)
 1072/206    0.006    0.000    0.013    0.000 sre_compile.py:71(_compile)
        1    0.006    0.006    0.043    0.043 LebwohlLasher_mpi4py.py:216(MC_step)
       30    0.006    0.000    0.033    0.001 __init__.py:835(_rc_params_in_file)
     4050    0.005    0.000    0.011    0.000 artist.py:1559(aliased_name)
     6804    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
    339/1    0.005    0.000    1.440    1.440 {built-in method builtins.exec}
10367/10326    0.005    0.000    0.008    0.000 {built-in method builtins.hasattr}
     6944    0.004    0.000    0.008    0.000 enum.py:313(__call__)
    32405    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
      291    0.004    0.000    0.138    0.000 <frozen importlib._bootstrap_external>:914(get_code)
     2617    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x902780}
       35    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
      812    0.003    0.000    0.006    0.000 functools.py:34(update_wrapper)
     5304    0.003    0.000    0.050    0.000 re.py:198(search)
      364    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:143(__init__)
      291    0.003    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
     6142    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
     1382    0.003    0.000    0.003    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
     7459    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
       28    0.003    0.000    1.120    0.040 __init__.py:1(<module>)
     5974    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
 1281/419    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
     3162    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      355    0.003    0.000    0.093    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      582    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     3162    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
       40    0.003    0.000    0.006    0.000 __init__.py:313(namedtuple)
      100    0.002    0.000    0.010    0.000 artist.py:170(<listcomp>)
      168    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
    29071    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
      754    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    364/5    0.002    0.000    1.397    0.279 <frozen importlib._bootstrap>:986(_find_and_load)
     4212    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
      577    0.002    0.000    0.004    0.000 enum.py:75(__setitem__)
 1427/165    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
    11000    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     4984    0.002    0.000    0.004    0.000 sre_parse.py:254(get)
  336/335    0.002    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
    341/6    0.002    0.000    1.393    0.232 <frozen importlib._bootstrap>:650(_load_unlocked)
     6939    0.002    0.000    0.002    0.000 enum.py:631(__new__)
      340    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
   472/58    0.002    0.000    1.275    0.022 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      754    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
     2654    0.002    0.000    0.003    0.000 __init__.py:421(_strip_comment)
      618    0.002    0.000    0.004    0.000 _inspect.py:96(getargspec)
      614    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
    361/5    0.002    0.000    1.397    0.279 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     8903    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
