         7092325 function calls (7074186 primitive calls) in 9.951 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    4.620    4.620    8.197    8.197 {method 'mainloop' of '_tkinter.tkapp' objects}
        1    0.628    0.628    0.754    0.754 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   250061    0.531    0.000    0.902    0.000 __init__.py:134(check_shape)
   250058    0.335    0.000    2.134    0.000 path.py:99(__init__)
    35/30    0.333    0.010    0.354    0.012 {built-in method _imp.exec_dynamic}
   250058    0.264    0.000    0.691    0.000 path.py:202(_update_values)
   503549    0.196    0.000    0.404    0.000 __init__.py:729(__getitem__)
        2    0.194    0.097    2.325    1.162 collections.py:1195(<listcomp>)
   250509    0.153    0.000    0.296    0.000 {built-in method builtins.any}
   503864    0.145    0.000    0.208    0.000 __init__.py:678(_get)
   750183    0.143    0.000    0.143    0.000 __init__.py:154(<genexpr>)
   250158    0.123    0.000    0.206    0.000 __init__.py:1337(_to_unmasked_float_array)
        1    0.121    0.121    0.121    0.121 {built-in method _tkinter.create}
        1    0.097    0.097    0.190    0.190 quiver.py:665(_h_arrows)
     1586    0.092    0.000    0.092    0.000 {built-in method posix.stat}
       35    0.089    0.003    0.090    0.003 {built-in method _imp.create_dynamic}
890817/889706    0.089    0.000    0.089    0.000 {built-in method builtins.len}
      323    0.080    0.000    0.080    0.000 {built-in method marshal.loads}
      287    0.079    0.000    0.083    0.000 {method 'call' of '_tkinter.tkapp' objects}
        1    0.070    0.070    0.280    0.280 quiver.py:607(_make_verts)
     6796    0.070    0.000    0.117    0.000 inspect.py:625(cleandoc)
   503869    0.063    0.000    0.063    0.000 {function RcParams.__getitem__ at 0x7f629bf97c10}
        5    0.060    0.012    0.060    0.012 {method 'repeat' of 'numpy.ndarray' objects}
      458    0.057    0.000    0.057    0.000 {method 'read' of '_io.BufferedReader' objects}
   250725    0.052    0.000    0.053    0.000 {built-in method numpy.asarray}
 1264/925    0.049    0.000    0.163    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   250150    0.038    0.000    0.038    0.000 path.py:211(vertices)
261650/261609    0.038    0.000    0.041    0.000 {built-in method builtins.hasattr}
   250078    0.032    0.000    0.032    0.000 path.py:256(should_simplify)
   256161    0.031    0.000    0.031    0.000 {method 'items' of 'dict' objects}
   250078    0.028    0.000    0.028    0.000 path.py:244(simplify_threshold)
   250100    0.028    0.000    0.028    0.000 path.py:225(codes)
     9273    0.027    0.000    0.027    0.000 {method 'search' of 're.Pattern' objects}
        5    0.027    0.005    0.027    0.005 linalg.py:469(inv)
1239/1126    0.026    0.000    0.465    0.000 {built-in method builtins.__build_class__}
      428    0.023    0.000    0.023    0.000 {built-in method builtins.dir}
        1    0.020    0.020    8.569    8.569 LebwohlLasher_mpi4py.py:53(plotdat)
    68294    0.018    0.000    0.020    0.000 {built-in method builtins.getattr}
      323    0.017    0.000    0.017    0.000 {built-in method io.open_code}
      213    0.016    0.000    0.051    0.000 artist.py:1521(get_setters)
    88058    0.014    0.000    0.014    0.000 {method 'startswith' of 'str' objects}
        1    0.014    0.014    0.015    0.015 image.py:1420(BboxImage)
     4050    0.014    0.000    0.180    0.000 artist.py:1474(get_valid_values)
      213    0.013    0.000    0.026    0.000 artist.py:1457(<listcomp>)
      213    0.013    0.000    0.080    0.000 artist.py:1446(get_aliases)
    64520    0.012    0.000    0.018    0.000 {built-in method builtins.isinstance}
  483/211    0.012    0.000    0.031    0.000 sre_parse.py:493(_parse)
    52354    0.012    0.000    0.012    0.000 {built-in method builtins.min}
     1043    0.011    0.000    0.011    0.000 {built-in method numpy.array}
       91    0.011    0.000    0.011    0.000 font_manager.py:731(set_style)
       36    0.011    0.000    0.011    0.000 transforms.py:131(__getstate__)
     6509    0.010    0.000    0.017    0.000 inspect.py:2489(__init__)
        1    0.010    0.010    0.010    0.010 function_base.py:1602(angle)
       36    0.009    0.000    0.016    0.000 enum.py:157(__new__)
    74017    0.009    0.000    0.009    0.000 {method 'lstrip' of 'str' objects}
      677    0.009    0.000    0.120    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
15996/15987    0.009    0.000    0.011    0.000 {method 'join' of 'str' objects}
      971    0.009    0.000    0.012    0.000 inspect.py:2772(__init__)
     7509    0.008    0.000    0.071    0.000 re.py:289(_compile)
      694    0.008    0.000    0.021    0.000 inspect.py:2124(_signature_from_function)
     8437    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
     6764    0.007    0.000    0.113    0.000 inspect.py:606(getdoc)
       39    0.007    0.000    0.007    0.000 {built-in method posix.listdir}
       56    0.007    0.000    0.007    0.000 transforms.py:379(bounds)
    372/1    0.007    0.000    9.952    9.952 {built-in method builtins.exec}
      112    0.007    0.000    0.219    0.002 artist.py:1602(pprint_setters)
 1076/208    0.006    0.000    0.016    0.000 sre_compile.py:71(_compile)
     4050    0.006    0.000    0.012    0.000 artist.py:1559(aliased_name)
