LebwohlLasher_Numpy.py: Size: 100, Steps: 100, T*: 0.500: Order: 0.284, Time: 8.342402 s
         2724556 function calls (2702160 primitive calls) in 15.661 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1010200    7.901    0.000    7.901    0.000 LebwohlLasher_Numpy.py:98(one_energy)
        2    4.820    2.410    5.790    2.895 {method 'mainloop' of '_tkinter.tkapp' objects}
      101    0.323    0.003    7.831    0.078 LebwohlLasher_Numpy.py:129(all_energy)
    20096    0.106    0.000    0.165    0.000 __init__.py:134(check_shape)
        2    0.098    0.049    0.098    0.049 {built-in method _tkinter.create}
     1576    0.095    0.000    0.095    0.000 {built-in method posix.stat}
      529    0.094    0.000    0.106    0.000 {method 'call' of '_tkinter.tkapp' objects}
        2    0.084    0.042    0.098    0.049 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      322    0.083    0.000    0.083    0.000 {built-in method marshal.loads}
    20096    0.080    0.000    0.367    0.000 path.py:99(__init__)
       34    0.075    0.002    0.076    0.002 {built-in method _imp.create_dynamic}
     6796    0.075    0.000    0.129    0.000 inspect.py:625(cleandoc)
      101    0.069    0.001    0.106    0.001 LebwohlLasher_Numpy.py:146(get_order)
      100    0.060    0.001    0.526    0.005 LebwohlLasher_Numpy.py:170(MC_step)
      592    0.058    0.000    0.058    0.000 {method 'read' of '_io.BufferedReader' objects}
        4    0.039    0.010    0.404    0.101 collections.py:1195(<listcomp>)
    46633    0.035    0.000    0.070    0.000 __init__.py:729(__getitem__)
    20096    0.033    0.000    0.098    0.000 path.py:202(_update_values)
    60288    0.032    0.000    0.032    0.000 __init__.py:154(<genexpr>)
     9273    0.031    0.000    0.031    0.000 {method 'search' of 're.Pattern' objects}
      100    0.031    0.000    0.031    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
        7    0.026    0.004    0.026    0.004 linalg.py:469(inv)
      428    0.025    0.000    0.025    0.000 {built-in method builtins.dir}
1238/1125    0.025    0.000    0.487    0.000 {built-in method builtins.__build_class__}
202085/200969    0.024    0.000    0.025    0.000 {built-in method builtins.len}
    46948    0.024    0.000    0.035    0.000 __init__.py:678(_get)
    72508    0.021    0.000    0.025    0.000 {built-in method builtins.getattr}
      200    0.021    0.000    0.025    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
    20794    0.019    0.000    0.051    0.000 {built-in method builtins.any}
4066/3190    0.019    0.000    0.097    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2296    0.018    0.000    0.018    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.018    0.009    0.037    0.018 quiver.py:607(_make_verts)
      322    0.018    0.000    0.018    0.000 {built-in method io.open_code}
       38    0.017    0.000    0.017    0.000 {built-in method posix.listdir}
      213    0.017    0.000    0.055    0.000 artist.py:1521(get_setters)
     4050    0.017    0.000    0.194    0.000 artist.py:1474(get_valid_values)
    88078    0.016    0.000    0.016    0.000 {method 'startswith' of 'str' objects}
    20286    0.015    0.000    0.026    0.000 __init__.py:1337(_to_unmasked_float_array)
     7868    0.015    0.000    0.021    0.000 enum.py:313(__call__)
      213    0.015    0.000    0.088    0.000 artist.py:1446(get_aliases)
      213    0.015    0.000    0.029    0.000 artist.py:1457(<listcomp>)
    72206    0.014    0.000    0.033    0.000 {built-in method builtins.isinstance}
     2229    0.013    0.000    0.018    0.000 {built-in method _abc._abc_instancecheck}
        1    0.013    0.013    0.014    0.014 image.py:1420(BboxImage)
        2    0.013    0.007    0.015    0.008 quiver.py:665(_h_arrows)
    52377    0.013    0.000    0.013    0.000 {built-in method builtins.min}
      100    0.012    0.000    0.012    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
    21491    0.011    0.000    0.012    0.000 {built-in method numpy.asarray}
    46953    0.011    0.000    0.011    0.000 {function RcParams.__getitem__ at 0x7efdc3ff3dc0}
    74061    0.011    0.000    0.011    0.000 {method 'lstrip' of 'str' objects}
8180/7150    0.011    0.000    0.015    0.000 artist.py:319(stale)
     1191    0.011    0.000    0.022    0.000 copy.py:258(_reconstruct)
      971    0.011    0.000    0.014    0.000 inspect.py:2772(__init__)
  483/211    0.010    0.000    0.026    0.000 sre_parse.py:493(_parse)
     6509    0.010    0.000    0.018    0.000 inspect.py:2489(__init__)
  4344/72    0.010    0.000    0.029    0.000 copy.py:128(deepcopy)
16010/16001    0.010    0.000    0.012    0.000 {method 'join' of 'str' objects}
     8586    0.010    0.000    0.010    0.000 {method 'split' of 'str' objects}
32379/32338    0.010    0.000    0.013    0.000 {built-in method builtins.hasattr}
     7924    0.009    0.000    0.063    0.000 re.py:289(_compile)
      935    0.009    0.000    0.016    0.000 transforms.py:1889(__init__)
      694    0.008    0.000    0.024    0.000 inspect.py:2124(_signature_from_function)
      626    0.008    0.000    0.027    0.000 artist.py:1180(_update_props)
     6764    0.008    0.000    0.121    0.000 inspect.py:606(getdoc)
      600    0.008    0.000    0.009    0.000 font_manager.py:633(__hash__)
      671    0.008    0.000    0.130    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
        2    0.008    0.004    0.008    0.004 {built-in method matplotlib.backends._tkagg.blit}
        4    0.007    0.002    0.007    0.002 {built-in method matplotlib._c_internal_utils.display_is_valid}
    34/29    0.007    0.000    0.031    0.001 {built-in method _imp.exec_dynamic}
      108    0.007    0.000    0.007    0.000 lines.py:1239(set_markeredgewidth)
      112    0.007    0.000    0.237    0.002 artist.py:1602(pprint_setters)
     4050    0.007    0.000    0.014    0.000 artist.py:1559(aliased_name)
       30    0.007    0.000    0.040    0.001 __init__.py:835(_rc_params_in_file)
    372/1    0.006    0.000   15.662   15.662 {built-in method builtins.exec}
       54    0.006    0.000    0.033    0.001 text.py:918(get_window_extent)
1617/1615    0.006    0.000    0.030    0.000 __init__.py:301(process)
