#=====================================================
# File created:        Fri-08-Mar-2024-at-01-40-13PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.065913
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2308.4865  0.2523 
   00001    0.6840   -3677.9380  0.2521 
   00002    0.6252   -4450.8021  0.2560 
   00003    0.5876   -4977.7370  0.2608 
   00004    0.5452   -5411.7757  0.2642 
   00005    0.5288   -5772.3024  0.2658 
   00006    0.5356   -6012.6381  0.2644 
   00007    0.5208   -6259.7738  0.2665 
   00008    0.5072   -6461.4062  0.2656 
   00009    0.4960   -6632.7096  0.2679 
   00010    0.4976   -6850.6134  0.2710 
   00011    0.4708   -6916.6858  0.2701 
   00012    0.4744   -7063.6202  0.2720 
   00013    0.4660   -7149.7449  0.2714 
   00014    0.4672   -7233.8584  0.2719 
   00015    0.4488   -7250.3947  0.2696 
   00016    0.4648   -7239.1527  0.2694 
   00017    0.4628   -7339.1029  0.2718 
   00018    0.4620   -7386.6338  0.2722 
   00019    0.4596   -7416.0601  0.2713 
   00020    0.4504   -7448.7621  0.2723 
   00021    0.4688   -7531.3952  0.2722 
   00022    0.4424   -7542.5882  0.2724 
   00023    0.4468   -7538.1468  0.2752 
   00024    0.4448   -7583.6920  0.2757 
   00025    0.4552   -7584.5612  0.2757 
   00026    0.4488   -7610.3787  0.2776 
   00027    0.4444   -7674.9494  0.2795 
   00028    0.4592   -7730.5623  0.2820 
   00029    0.4332   -7765.2535  0.2806 
   00030    0.4252   -7758.8589  0.2818 
   00031    0.4260   -7779.6397  0.2808 
   00032    0.4252   -7817.8305  0.2808 
   00033    0.4308   -7827.2982  0.2802 
   00034    0.4400   -7867.1144  0.2819 
   00035    0.4320   -7857.8944  0.2829 
   00036    0.4512   -7892.6294  0.2840 
   00037    0.4216   -7878.7586  0.2856 
   00038    0.4216   -7903.6488  0.2862 
   00039    0.4564   -7922.3258  0.2843 
   00040    0.4164   -7969.8066  0.2883 
   00041    0.4240   -7966.4072  0.2871 
   00042    0.4372   -7985.7487  0.2871 
   00043    0.4412   -7964.5368  0.2898 
   00044    0.4464   -7966.1949  0.2906 
   00045    0.4360   -8032.0922  0.2901 
   00046    0.4152   -8022.0982  0.2906 
   00047    0.4328   -8041.9345  0.2919 
   00048    0.4408   -8122.8034  0.2938 
   00049    0.4344   -8121.1968  0.2930 
   00050    0.4384   -8129.9806  0.2917 
