#=====================================================
# File created:        Fri-08-Mar-2024-at-11-03-02AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.377331
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2559.9326  0.2638 
   00001    0.6748   -3663.6163  0.2663 
   00002    0.6328   -4460.3825  0.2784 
   00003    0.5748   -5019.3673  0.2746 
   00004    0.5680   -5399.3026  0.2787 
   00005    0.5300   -5775.9401  0.2910 
   00006    0.5348   -6076.8017  0.2940 
   00007    0.5136   -6306.4380  0.3027 
   00008    0.5080   -6519.4304  0.3059 
   00009    0.4896   -6649.5121  0.3154 
   00010    0.4748   -6838.2820  0.3142 
   00011    0.4776   -6925.7075  0.3094 
   00012    0.4724   -7074.5662  0.3158 
   00013    0.4780   -7181.4881  0.3229 
   00014    0.4704   -7230.8154  0.3319 
   00015    0.4540   -7314.8595  0.3331 
   00016    0.4700   -7378.0629  0.3313 
   00017    0.4568   -7382.4620  0.3306 
   00018    0.4428   -7476.4589  0.3314 
   00019    0.4716   -7537.2482  0.3356 
   00020    0.4416   -7576.1369  0.3398 
   00021    0.4432   -7636.6246  0.3408 
   00022    0.4440   -7664.9552  0.3559 
   00023    0.4388   -7725.2624  0.3576 
   00024    0.4336   -7761.7957  0.3606 
   00025    0.4348   -7795.4327  0.3638 
   00026    0.4320   -7815.3119  0.3679 
   00027    0.4456   -7822.4111  0.3697 
   00028    0.4308   -7853.5335  0.3690 
   00029    0.4312   -7889.7113  0.3671 
   00030    0.4280   -7899.6683  0.3746 
   00031    0.4336   -7954.7393  0.3806 
   00032    0.4368   -7976.0425  0.3881 
   00033    0.4188   -8015.3041  0.3980 
   00034    0.4204   -8081.5227  0.3985 
   00035    0.4268   -8103.3086  0.4057 
   00036    0.4248   -8070.8208  0.4118 
   00037    0.4252   -8041.4209  0.4130 
   00038    0.4284   -8094.4947  0.4141 
   00039    0.4252   -8098.2649  0.4140 
   00040    0.4300   -8128.9267  0.4168 
   00041    0.4256   -8141.5420  0.4172 
   00042    0.4224   -8183.5263  0.4229 
   00043    0.4356   -8192.5241  0.4335 
   00044    0.4332   -8170.9274  0.4402 
   00045    0.4156   -8183.8440  0.4366 
   00046    0.4116   -8207.5538  0.4441 
   00047    0.4212   -8221.5703  0.4492 
   00048    0.4320   -8204.8424  0.4501 
   00049    0.4228   -8203.9393  0.4472 
   00050    0.4256   -8221.4940  0.4498 
