#=====================================================
# File created:        Mon-11-Mar-2024-at-01-59-41PM
# Size of lattice:     100x100
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        26.853164
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9739.4599  0.2621 
   00001    0.6836  -15005.9763  0.2595 
   00002    0.6138  -18147.2080  0.2691 
   00003    0.5820  -20378.2845  0.2750 
   00004    0.5663  -22075.7158  0.2748 
   00005    0.5368  -23465.9307  0.2721 
   00006    0.5142  -24536.3688  0.2741 
   00007    0.5103  -25607.1859  0.2738 
   00008    0.4961  -26398.1106  0.2739 
   00009    0.4841  -27100.2683  0.2688 
   00010    0.4877  -27614.6705  0.2689 
   00011    0.4729  -28120.6631  0.2716 
   00012    0.4704  -28583.3118  0.2737 
   00013    0.4729  -28889.0948  0.2766 
   00014    0.4620  -29094.5119  0.2796 
   00015    0.4545  -29491.6231  0.2770 
   00016    0.4594  -29870.8471  0.2740 
   00017    0.4548  -30035.0596  0.2737 
   00018    0.4554  -30182.4653  0.2759 
   00019    0.4420  -30224.4495  0.2746 
   00020    0.4475  -30485.7334  0.2768 
   00021    0.4407  -30640.1991  0.2792 
   00022    0.4386  -30795.8163  0.2777 
   00023    0.4504  -30972.6507  0.2815 
   00024    0.4390  -30985.5951  0.2805 
   00025    0.4419  -31065.4168  0.2809 
   00026    0.4425  -31134.5108  0.2815 
   00027    0.4506  -31269.4936  0.2863 
   00028    0.4393  -31319.4175  0.2875 
   00029    0.4397  -31429.4505  0.2901 
   00030    0.4337  -31491.7135  0.2892 
   00031    0.4334  -31573.5169  0.2906 
   00032    0.4326  -31615.3210  0.2940 
   00033    0.4338  -31708.5170  0.2932 
   00034    0.4298  -31658.5720  0.2928 
   00035    0.4300  -31757.6060  0.2943 
   00036    0.4267  -31813.4799  0.2939 
   00037    0.4387  -31839.5114  0.2949 
   00038    0.4289  -31955.8779  0.2969 
   00039    0.4265  -32057.0470  0.2943 
   00040    0.4293  -32159.5036  0.2946 
   00041    0.4363  -32294.6992  0.2993 
   00042    0.4296  -32331.7915  0.2990 
   00043    0.4216  -32354.8198  0.2977 
   00044    0.4272  -32331.0261  0.2958 
   00045    0.4269  -32342.2337  0.2944 
   00046    0.4315  -32288.6403  0.2944 
   00047    0.4269  -32346.5855  0.2950 
   00048    0.4175  -32362.8252  0.2959 
   00049    0.4242  -32325.8183  0.2980 
   00050    0.4263  -32377.1408  0.2982 
   00051    0.4307  -32467.2341  0.2944 
   00052    0.4331  -32524.4794  0.2951 
   00053    0.4238  -32440.4761  0.2982 
   00054    0.4214  -32450.8344  0.2982 
   00055    0.4268  -32476.0427  0.3023 
   00056    0.4368  -32461.3926  0.3045 
   00057    0.4332  -32423.1380  0.3029 
   00058    0.4282  -32425.4947  0.3001 
   00059    0.4229  -32450.2544  0.3006 
   00060    0.4262  -32518.3402  0.2983 
   00061    0.4281  -32498.8090  0.2982 
   00062    0.4318  -32542.4404  0.2974 
   00063    0.4166  -32590.7389  0.2976 
   00064    0.4342  -32658.0726  0.2963 
   00065    0.4192  -32733.1050  0.3012 
   00066    0.4202  -32832.0394  0.3007 
   00067    0.4192  -32724.3854  0.3021 
   00068    0.4242  -32769.5546  0.3036 
   00069    0.4233  -32851.3359  0.3060 
   00070    0.4236  -32887.1488  0.3049 
   00071    0.4260  -32785.4334  0.3049 
   00072    0.4247  -32760.2122  0.3065 
   00073    0.4264  -32730.9143  0.3076 
   00074    0.4234  -32705.3854  0.3106 
   00075    0.4256  -32696.9882  0.3105 
   00076    0.4251  -32813.5468  0.3106 
   00077    0.4241  -32816.0125  0.3088 
   00078    0.4209  -32798.8966  0.3087 
   00079    0.4231  -32819.4381  0.3105 
   00080    0.4213  -32870.2275  0.3076 
   00081    0.4187  -32886.1961  0.3063 
   00082    0.4236  -32971.9351  0.3066 
   00083    0.4165  -33076.0606  0.3074 
   00084    0.4291  -33108.4461  0.3060 
   00085    0.4199  -33063.4452  0.3072 
   00086    0.4202  -33036.7311  0.3090 
   00087    0.4065  -32954.2657  0.3095 
   00088    0.4197  -32974.2267  0.3121 
   00089    0.4291  -33027.4753  0.3157 
   00090    0.4217  -32945.2448  0.3160 
   00091    0.4235  -32965.0277  0.3160 
   00092    0.4229  -33067.5630  0.3200 
   00093    0.4179  -33070.2011  0.3191 
   00094    0.4153  -33087.2068  0.3206 
   00095    0.4139  -33215.5214  0.3203 
   00096    0.4240  -33233.2063  0.3187 
   00097    0.4175  -33249.2767  0.3195 
   00098    0.4193  -33263.5566  0.3178 
   00099    0.4191  -33232.0491  0.3167 
   00100    0.4274  -33203.0176  0.3127 
