#=====================================================
# File created:        Sat-09-Mar-2024-at-11-34-58AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.059117
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2542.9302  0.2693 
   00001    0.6684   -3740.6633  0.2816 
   00002    0.6152   -4544.2589  0.2794 
   00003    0.5760   -5154.1137  0.2751 
   00004    0.5560   -5552.6564  0.2728 
   00005    0.5404   -5864.9621  0.2761 
   00006    0.5220   -6122.9231  0.2761 
   00007    0.5020   -6269.5090  0.2775 
   00008    0.4964   -6463.2067  0.2728 
   00009    0.4944   -6638.1679  0.2721 
   00010    0.4812   -6794.1973  0.2713 
   00011    0.4804   -6886.9889  0.2740 
   00012    0.4724   -7002.7375  0.2677 
   00013    0.4548   -7117.6550  0.2703 
   00014    0.4540   -7235.1888  0.2729 
   00015    0.4532   -7298.5549  0.2746 
   00016    0.4696   -7360.5797  0.2724 
   00017    0.4568   -7405.3806  0.2679 
   00018    0.4560   -7422.3168  0.2667 
   00019    0.4456   -7504.5214  0.2676 
   00020    0.4568   -7534.6176  0.2695 
   00021    0.4276   -7606.9895  0.2697 
   00022    0.4484   -7610.7324  0.2777 
   00023    0.4668   -7662.0970  0.2847 
   00024    0.4404   -7708.0935  0.2833 
   00025    0.4600   -7766.6938  0.2798 
   00026    0.4252   -7803.1607  0.2738 
   00027    0.4204   -7835.6082  0.2708 
   00028    0.4436   -7850.0319  0.2651 
   00029    0.4360   -7848.3682  0.2671 
   00030    0.4288   -7948.5413  0.2661 
   00031    0.4240   -7977.6646  0.2687 
   00032    0.4200   -7971.8360  0.2665 
   00033    0.4312   -7970.7785  0.2710 
   00034    0.4208   -7945.9182  0.2748 
   00035    0.4176   -7950.6751  0.2732 
   00036    0.4296   -7984.4135  0.2766 
   00037    0.4408   -7937.8282  0.2792 
   00038    0.4196   -7936.7497  0.2812 
   00039    0.4160   -7970.7215  0.2813 
   00040    0.4476   -8060.5519  0.2823 
   00041    0.4220   -8082.4188  0.2838 
   00042    0.4328   -8090.2463  0.2893 
   00043    0.4304   -8087.1033  0.2894 
   00044    0.4360   -8063.1409  0.2909 
   00045    0.4304   -8082.2786  0.2914 
   00046    0.4392   -8135.2468  0.2905 
   00047    0.4240   -8134.3365  0.2884 
   00048    0.4228   -8109.4571  0.2860 
   00049    0.4380   -8133.4774  0.2910 
   00050    0.4260   -8128.1266  0.2866 
