#=====================================================
# File created:        Sat-09-Mar-2024-at-12-21-19PM
# Size of lattice:     100x100
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        15.012627
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9933.8618  0.2524 
   00001    0.6808  -14764.7146  0.2527 
   00002    0.6226  -18053.2693  0.2565 
   00003    0.5842  -20288.4731  0.2584 
   00004    0.5540  -22133.0292  0.2589 
   00005    0.5369  -23637.1266  0.2570 
   00006    0.5141  -24755.9292  0.2584 
   00007    0.5085  -25683.9352  0.2585 
   00008    0.5008  -26541.7768  0.2585 
   00009    0.4827  -27216.4761  0.2586 
   00010    0.4872  -27719.1278  0.2596 
   00011    0.4761  -28185.1826  0.2605 
   00012    0.4689  -28703.0137  0.2614 
   00013    0.4646  -29013.0983  0.2618 
   00014    0.4633  -29295.9520  0.2624 
   00015    0.4585  -29603.4009  0.2626 
   00016    0.4528  -29853.8272  0.2643 
   00017    0.4556  -30159.0427  0.2643 
   00018    0.4524  -30383.4175  0.2652 
   00019    0.4547  -30627.5781  0.2658 
   00020    0.4394  -30764.9836  0.2666 
   00021    0.4411  -30912.6294  0.2663 
   00022    0.4482  -31079.5345  0.2677 
   00023    0.4358  -31167.9971  0.2679 
   00024    0.4430  -31242.1452  0.2690 
   00025    0.4295  -31424.5483  0.2688 
   00026    0.4245  -31458.8262  0.2703 
   00027    0.4366  -31584.5339  0.2700 
   00028    0.4350  -31705.9749  0.2725 
   00029    0.4453  -31754.0991  0.2734 
   00030    0.4336  -31856.0842  0.2746 
   00031    0.4276  -31894.0282  0.2750 
   00032    0.4207  -31962.0256  0.2751 
   00033    0.4341  -32147.2472  0.2768 
   00034    0.4298  -32175.9015  0.2776 
   00035    0.4327  -32155.0563  0.2784 
   00036    0.4294  -32243.1127  0.2784 
   00037    0.4315  -32179.0829  0.2795 
   00038    0.4264  -32234.9112  0.2796 
   00039    0.4336  -32329.5907  0.2809 
   00040    0.4252  -32491.3349  0.2811 
   00041    0.4208  -32545.8437  0.2810 
   00042    0.4162  -32567.9869  0.2812 
   00043    0.4271  -32600.4974  0.2813 
   00044    0.4243  -32640.6508  0.2820 
   00045    0.4233  -32689.4043  0.2827 
   00046    0.4175  -32644.9786  0.2834 
   00047    0.4243  -32703.6977  0.2843 
   00048    0.4172  -32774.9954  0.2846 
   00049    0.4298  -32760.5674  0.2848 
   00050    0.4202  -32738.7196  0.2841 
   00051    0.4200  -32749.8060  0.2837 
   00052    0.4263  -32786.3355  0.2828 
   00053    0.4284  -32837.8281  0.2829 
   00054    0.4154  -32876.2904  0.2827 
   00055    0.4201  -32913.8126  0.2826 
   00056    0.4260  -32991.4482  0.2822 
   00057    0.4220  -32970.6096  0.2829 
   00058    0.4291  -32850.4995  0.2819 
   00059    0.4264  -32903.0525  0.2816 
   00060    0.4187  -32810.9621  0.2828 
   00061    0.4182  -32828.1812  0.2820 
   00062    0.4235  -32828.1045  0.2820 
   00063    0.4300  -32876.2560  0.2818 
   00064    0.4221  -32985.5915  0.2824 
   00065    0.4149  -33000.8934  0.2824 
   00066    0.4303  -32939.7416  0.2839 
   00067    0.4258  -32925.3470  0.2859 
   00068    0.4183  -32969.1389  0.2847 
   00069    0.4192  -32951.9743  0.2851 
   00070    0.4194  -32941.8778  0.2837 
   00071    0.4189  -32956.8474  0.2830 
   00072    0.4245  -33083.1008  0.2837 
   00073    0.4206  -33096.9389  0.2840 
   00074    0.4226  -32998.2333  0.2831 
   00075    0.4272  -33018.7030  0.2834 
   00076    0.4240  -33028.3197  0.2833 
   00077    0.4284  -33035.7826  0.2831 
   00078    0.4289  -33052.8859  0.2834 
   00079    0.4165  -33125.0766  0.2836 
   00080    0.4178  -33085.3827  0.2828 
   00081    0.4193  -33145.3576  0.2824 
   00082    0.4256  -33143.7768  0.2824 
   00083    0.4249  -33188.4120  0.2834 
   00084    0.4168  -33241.8836  0.2837 
   00085    0.4198  -33236.4928  0.2846 
   00086    0.4226  -33139.5244  0.2844 
   00087    0.4146  -33179.7427  0.2857 
   00088    0.4175  -33284.1465  0.2866 
   00089    0.4204  -33278.2183  0.2866 
   00090    0.4210  -33359.7061  0.2867 
   00091    0.4205  -33253.5425  0.2856 
   00092    0.4230  -33316.3598  0.2860 
   00093    0.4156  -33280.6203  0.2862 
   00094    0.4154  -33308.9031  0.2863 
   00095    0.4279  -33350.4822  0.2869 
   00096    0.4103  -33316.9571  0.2864 
   00097    0.4233  -33387.0792  0.2868 
   00098    0.4226  -33415.8655  0.2861 
   00099    0.4203  -33479.5866  0.2854 
   00100    0.4287  -33424.4627  0.2853 
