#=====================================================
# File created:        Thu-07-Mar-2024-at-05-29-33PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.494255
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2382.4658  0.2564 
   00001    0.6872   -3711.1142  0.2565 
   00002    0.6352   -4538.4135  0.2576 
   00003    0.5752   -5103.2798  0.2571 
   00004    0.5528   -5498.9397  0.2632 
   00005    0.5208   -5763.8246  0.2667 
   00006    0.5284   -6040.5023  0.2612 
   00007    0.5160   -6286.8263  0.2663 
   00008    0.5028   -6472.2980  0.2745 
   00009    0.5096   -6668.7611  0.2776 
   00010    0.4956   -6839.0240  0.2729 
   00011    0.4644   -6951.3523  0.2823 
   00012    0.4684   -7086.0841  0.2898 
   00013    0.4768   -7171.8718  0.2880 
   00014    0.4496   -7303.3608  0.2828 
   00015    0.4524   -7355.7419  0.2735 
   00016    0.4584   -7479.1032  0.2801 
   00017    0.4396   -7554.3433  0.2856 
   00018    0.4400   -7591.5885  0.2879 
   00019    0.4500   -7617.3532  0.2870 
   00020    0.4460   -7664.9262  0.2793 
   00021    0.4584   -7717.4943  0.2828 
   00022    0.4780   -7740.3472  0.2798 
   00023    0.4596   -7802.8959  0.2812 
   00024    0.4320   -7835.3022  0.2914 
   00025    0.4364   -7844.8539  0.2928 
   00026    0.4300   -7829.0563  0.2908 
   00027    0.4236   -7859.0086  0.2956 
   00028    0.4312   -7978.3791  0.3021 
   00029    0.4328   -7975.7107  0.3108 
   00030    0.4344   -7989.4510  0.3180 
   00031    0.4376   -7979.1777  0.3244 
   00032    0.4380   -7986.2182  0.3272 
   00033    0.4276   -7978.9685  0.3299 
   00034    0.4352   -7993.6904  0.3338 
   00035    0.4240   -8009.3169  0.3413 
   00036    0.4276   -8018.1585  0.3411 
   00037    0.4280   -8036.4263  0.3475 
   00038    0.4364   -8050.4894  0.3501 
   00039    0.4380   -8064.4530  0.3565 
   00040    0.4320   -8051.0115  0.3605 
   00041    0.4352   -8087.8284  0.3631 
   00042    0.4300   -8061.6142  0.3690 
   00043    0.4228   -8100.1200  0.3700 
   00044    0.4196   -8055.5204  0.3788 
   00045    0.4444   -8133.5068  0.3825 
   00046    0.4276   -8134.0133  0.3785 
   00047    0.4148   -8109.8380  0.3760 
   00048    0.4272   -8076.0460  0.3770 
   00049    0.4308   -8122.0438  0.3729 
   00050    0.4152   -8126.6796  0.3756 
