#=====================================================
# File created:        Tue-12-Mar-2024-at-03-50-11PM
# Size of lattice:     50x50
# Number of MC steps:  800
# Reduced temperature: 1.000
# Run time (s):        10.102809
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2558.7902  0.2637 
   00001    0.6760   -3743.7615  0.2675 
   00002    0.6408   -4284.7817  0.2612 
   00003    0.5996   -4655.8572  0.2738 
   00004    0.5696   -4894.3143  0.2797 
   00005    0.5724   -5113.9264  0.2869 
   00006    0.5464   -5181.4571  0.2973 
   00007    0.5460   -5357.5925  0.2962 
   00008    0.5276   -5396.0807  0.2873 
   00009    0.5240   -5475.3497  0.2886 
   00010    0.5344   -5480.9971  0.2901 
   00011    0.5116   -5557.0884  0.2898 
   00012    0.5216   -5654.2345  0.2968 
   00013    0.5180   -5603.1096  0.3034 
   00014    0.5208   -5695.4757  0.3133 
   00015    0.5012   -5700.8908  0.3173 
   00016    0.4944   -5765.4245  0.3121 
   00017    0.5052   -5791.2845  0.3208 
   00018    0.5012   -5776.0728  0.3060 
   00019    0.5132   -5787.2150  0.3160 
   00020    0.5028   -5745.9425  0.3200 
   00021    0.4968   -5707.8944  0.3264 
   00022    0.5164   -5778.1450  0.3329 
   00023    0.5008   -5772.2650  0.3388 
   00024    0.5012   -5813.4557  0.3298 
   00025    0.4968   -5658.4160  0.3417 
   00026    0.5256   -5676.5891  0.3351 
   00027    0.5096   -5727.0466  0.3467 
   00028    0.5128   -5799.8654  0.3328 
   00029    0.5032   -5892.0281  0.3257 
   00030    0.5012   -5822.8823  0.3139 
   00031    0.4916   -5825.7531  0.3090 
   00032    0.4940   -5858.4009  0.3232 
   00033    0.5068   -5790.6519  0.3252 
   00034    0.5032   -5896.2265  0.3267 
   00035    0.5116   -5897.2199  0.3294 
   00036    0.4996   -5941.0520  0.3176 
   00037    0.4980   -5982.6277  0.3209 
   00038    0.4760   -5995.6764  0.3262 
   00039    0.4704   -5940.8539  0.3281 
   00040    0.5068   -5857.0879  0.3235 
   00041    0.4900   -5822.3049  0.3178 
   00042    0.5020   -5925.6927  0.3181 
   00043    0.4848   -5941.7761  0.3193 
   00044    0.4948   -5962.6966  0.3162 
   00045    0.4816   -5965.5394  0.3093 
   00046    0.4880   -5893.2196  0.3082 
   00047    0.4940   -5977.9226  0.3053 
   00048    0.4936   -5912.5848  0.2993 
   00049    0.4996   -5981.3096  0.2849 
   00050    0.4980   -5942.3970  0.2838 
   00051    0.4956   -5988.6803  0.2937 
   00052    0.4816   -5929.8837  0.2925 
   00053    0.5036   -5946.8153  0.2806 
   00054    0.4844   -5982.9428  0.2772 
   00055    0.4820   -5892.2849  0.2872 
   00056    0.5048   -5828.5816  0.2830 
   00057    0.4876   -5874.1732  0.2906 
   00058    0.5032   -5922.2607  0.2842 
   00059    0.5036   -5930.6840  0.2942 
   00060    0.4748   -5970.2631  0.2917 
   00061    0.4952   -5947.5695  0.2825 
   00062    0.4796   -5902.2544  0.2849 
   00063    0.4984   -5891.1596  0.2800 
   00064    0.5016   -5808.8011  0.2770 
   00065    0.4968   -5867.4292  0.2802 
   00066    0.4784   -5894.7319  0.2642 
   00067    0.4816   -5975.5141  0.2638 
   00068    0.5020   -5939.4950  0.2675 
   00069    0.4900   -5812.1220  0.2577 
   00070    0.4864   -5743.6269  0.2601 
   00071    0.5148   -5688.4178  0.2592 
   00072    0.4932   -5777.2829  0.2633 
   00073    0.5000   -5869.9341  0.2635 
   00074    0.5100   -5815.9921  0.2706 
   00075    0.5032   -5776.2092  0.2788 
   00076    0.5112   -5732.4869  0.2709 
   00077    0.4956   -5747.8108  0.2748 
   00078    0.5152   -5699.1383  0.2846 
   00079    0.5136   -5659.6880  0.2827 
   00080    0.5276   -5682.3483  0.2907 
   00081    0.5092   -5733.2779  0.2936 
   00082    0.4936   -5714.1055  0.2984 
   00083    0.5056   -5694.0599  0.2998 
   00084    0.5104   -5678.6231  0.3067 
   00085    0.5180   -5825.6259  0.2986 
   00086    0.4908   -5888.7387  0.3119 
   00087    0.5028   -5817.4675  0.3099 
   00088    0.4968   -5734.9353  0.3091 
   00089    0.4856   -5827.4125  0.3085 
   00090    0.4932   -5850.0073  0.2950 
   00091    0.4892   -5879.7204  0.3045 
   00092    0.5008   -5816.5077  0.3055 
   00093    0.4880   -5860.4253  0.2825 
   00094    0.4952   -5837.5219  0.2850 
   00095    0.5076   -5828.9819  0.2845 
   00096    0.4784   -5879.9012  0.2816 
   00097    0.4880   -5772.7321  0.2947 
   00098    0.4932   -5776.3654  0.3032 
   00099    0.4912   -5837.9157  0.2980 
   00100    0.5092   -5895.9974  0.2987 
   00101    0.4888   -5762.2049  0.2984 
   00102    0.5156   -5760.7729  0.3099 
   00103    0.5040   -5773.1208  0.3040 
   00104    0.4696   -5852.3824  0.3052 
   00105    0.4956   -5878.5032  0.3262 
   00106    0.4784   -5968.1484  0.3398 
   00107    0.4852   -5943.1652  0.3530 
   00108    0.4876   -5890.0491  0.3492 
   00109    0.4840   -5917.2653  0.3432 
   00110    0.4912   -5899.8114  0.3511 
   00111    0.4932   -5889.7895  0.3544 
   00112    0.4896   -5943.9037  0.3511 
   00113    0.4904   -5984.6556  0.3530 
   00114    0.4912   -5908.8285  0.3508 
   00115    0.4912   -6021.4045  0.3561 
   00116    0.4736   -5909.0918  0.3373 
   00117    0.4920   -6016.6038  0.3411 
   00118    0.4924   -5969.7916  0.3442 
   00119    0.4904   -5992.8784  0.3482 
   00120    0.4996   -5993.5612  0.3458 
   00121    0.4824   -6001.9463  0.3308 
   00122    0.4864   -6002.7143  0.3229 
   00123    0.4884   -6041.9119  0.3311 
   00124    0.4976   -5902.8819  0.3291 
   00125    0.4972   -5927.6562  0.3319 
   00126    0.5028   -5856.0150  0.3268 
   00127    0.5088   -5971.6333  0.3360 
   00128    0.4884   -6070.4080  0.3243 
   00129    0.4768   -6082.4758  0.3228 
   00130    0.4572   -6125.6352  0.3348 
   00131    0.4712   -6064.3084  0.3347 
   00132    0.4832   -5979.4859  0.3372 
   00133    0.4952   -5921.0577  0.3335 
   00134    0.4972   -5946.5915  0.3359 
   00135    0.4932   -6004.4147  0.3557 
   00136    0.4820   -5991.7637  0.3641 
   00137    0.4896   -5891.3172  0.3722 
   00138    0.5008   -5884.2614  0.3656 
   00139    0.4908   -5896.5212  0.3565 
   00140    0.4896   -5890.8656  0.3581 
   00141    0.4988   -5889.3043  0.3552 
   00142    0.5116   -5927.7737  0.3529 
   00143    0.4964   -5879.9190  0.3461 
   00144    0.5016   -5854.6800  0.3405 
   00145    0.5048   -5886.7928  0.3312 
   00146    0.5032   -5836.7014  0.3348 
   00147    0.4992   -5908.3618  0.3274 
   00148    0.4688   -5853.1419  0.3252 
   00149    0.4984   -5918.8407  0.3273 
   00150    0.4824   -5867.1477  0.3287 
   00151    0.5192   -5803.7370  0.3185 
   00152    0.5040   -5807.2720  0.3148 
   00153    0.5032   -5820.8458  0.3030 
   00154    0.5004   -5827.7419  0.2914 
   00155    0.4836   -5852.3365  0.2983 
   00156    0.5044   -5968.9209  0.3041 
   00157    0.4864   -5881.2954  0.3050 
   00158    0.4676   -5884.8254  0.3177 
   00159    0.4952   -5803.5095  0.3062 
   00160    0.4908   -5885.1630  0.3114 
   00161    0.5192   -5793.4732  0.3148 
   00162    0.5040   -5711.0409  0.2954 
   00163    0.4852   -5712.3671  0.3066 
   00164    0.4944   -5699.1038  0.2990 
   00165    0.5036   -5785.1865  0.3004 
   00166    0.5148   -5923.6634  0.2891 
   00167    0.4812   -5873.0753  0.2994 
   00168    0.4860   -5794.0138  0.2974 
   00169    0.4872   -5822.0284  0.3130 
   00170    0.4884   -5863.4492  0.3084 
   00171    0.4920   -5715.8798  0.2879 
   00172    0.5092   -5808.7037  0.2899 
   00173    0.5056   -5894.2179  0.2874 
   00174    0.5040   -5900.3357  0.2863 
   00175    0.4912   -5814.6363  0.2890 
   00176    0.5212   -5767.5854  0.2873 
   00177    0.5056   -5660.0413  0.2880 
   00178    0.5196   -5761.8765  0.3086 
   00179    0.4992   -5731.9471  0.3023 
   00180    0.5076   -5737.4112  0.2971 
   00181    0.5088   -5776.4970  0.2947 
   00182    0.5248   -5872.5567  0.3023 
   00183    0.5004   -5901.4109  0.3105 
   00184    0.5016   -5905.9878  0.3025 
   00185    0.4916   -5840.7482  0.3051 
   00186    0.5008   -5815.5612  0.3001 
   00187    0.4948   -5893.6664  0.3060 
   00188    0.4884   -5939.9320  0.2984 
   00189    0.4952   -5855.0479  0.3018 
   00190    0.4876   -5930.9082  0.2933 
   00191    0.4916   -5922.8204  0.2927 
   00192    0.4876   -5884.1465  0.2810 
   00193    0.5020   -5895.7904  0.2900 
   00194    0.4880   -5897.6750  0.3048 
   00195    0.4936   -5779.9492  0.3092 
   00196    0.5072   -5773.2082  0.3082 
   00197    0.4848   -5954.5414  0.3004 
   00198    0.5064   -5928.0918  0.2935 
   00199    0.4704   -5913.4028  0.2865 
   00200    0.5040   -5922.2534  0.2793 
   00201    0.4796   -5819.7411  0.2737 
   00202    0.5220   -5901.2393  0.2771 
   00203    0.4704   -5919.9368  0.2723 
   00204    0.4984   -5967.9270  0.2619 
   00205    0.4960   -5947.2192  0.2584 
   00206    0.5016   -5984.0077  0.2582 
   00207    0.5064   -5852.1329  0.2575 
   00208    0.4948   -5860.2948  0.2580 
   00209    0.5060   -5823.5663  0.2542 
   00210    0.4920   -5875.3494  0.2530 
   00211    0.5008   -5879.3105  0.2643 
   00212    0.4956   -5848.0669  0.2635 
   00213    0.4932   -5815.8737  0.2576 
   00214    0.4892   -5775.3248  0.2679 
   00215    0.5156   -5670.3521  0.2761 
   00216    0.4980   -5708.8563  0.2838 
   00217    0.4952   -5725.2107  0.2741 
   00218    0.5016   -5860.5724  0.2877 
   00219    0.5116   -5794.4984  0.2833 
   00220    0.4848   -5860.7075  0.2909 
   00221    0.4872   -5895.2614  0.2958 
   00222    0.5056   -5833.8154  0.2971 
   00223    0.4832   -5877.9697  0.2842 
   00224    0.4924   -5821.5836  0.2742 
   00225    0.4972   -5769.1027  0.2634 
   00226    0.5020   -5906.6022  0.2738 
   00227    0.5020   -5840.6718  0.2791 
   00228    0.4864   -5852.6651  0.2860 
   00229    0.4940   -5819.1567  0.2898 
   00230    0.5052   -5848.7674  0.2880 
   00231    0.5040   -5889.1002  0.2776 
   00232    0.4920   -5776.3166  0.2681 
   00233    0.4988   -5822.9964  0.2672 
   00234    0.4940   -5852.4898  0.2772 
   00235    0.4932   -5807.7261  0.2771 
   00236    0.4964   -5814.7862  0.2795 
   00237    0.5084   -5786.5463  0.2672 
   00238    0.5016   -5719.9018  0.2704 
   00239    0.5052   -5793.2138  0.2743 
   00240    0.4988   -5777.8130  0.2636 
   00241    0.5224   -5802.5214  0.2686 
   00242    0.5092   -5848.2548  0.2700 
   00243    0.4928   -5904.6985  0.2771 
   00244    0.4960   -5714.4026  0.2804 
   00245    0.4912   -5938.4697  0.2972 
   00246    0.4940   -5985.0407  0.2992 
   00247    0.4896   -5910.7107  0.3075 
   00248    0.5072   -5899.2907  0.2980 
   00249    0.4808   -5861.2073  0.2920 
   00250    0.4996   -5842.9554  0.2906 
   00251    0.5144   -5782.7848  0.2895 
   00252    0.5036   -5686.5184  0.2871 
   00253    0.4828   -5780.8645  0.2921 
   00254    0.4764   -5774.4409  0.2896 
   00255    0.5188   -5758.6124  0.2968 
   00256    0.4924   -5812.6004  0.3021 
   00257    0.4868   -5767.5418  0.3051 
   00258    0.5116   -5778.6195  0.3201 
   00259    0.4964   -5868.2920  0.3197 
   00260    0.4804   -5883.3194  0.3071 
   00261    0.4936   -5828.8474  0.3045 
   00262    0.5248   -5752.0089  0.2905 
   00263    0.5056   -5749.0973  0.2824 
   00264    0.5116   -5632.3399  0.2796 
   00265    0.5040   -5709.7957  0.2792 
   00266    0.5080   -5718.1118  0.2796 
   00267    0.5056   -5591.4124  0.2815 
   00268    0.4968   -5743.1514  0.2820 
   00269    0.5116   -5801.1482  0.2727 
   00270    0.5020   -5905.0442  0.2686 
   00271    0.4936   -5945.9717  0.2718 
   00272    0.4884   -5890.1944  0.2775 
   00273    0.4976   -5785.3367  0.2692 
   00274    0.5076   -5729.6669  0.2890 
   00275    0.4996   -5658.7495  0.2818 
   00276    0.5196   -5611.9093  0.2853 
   00277    0.5108   -5640.3134  0.2750 
   00278    0.4904   -5723.6989  0.2769 
   00279    0.4980   -5719.1791  0.2836 
   00280    0.4996   -5856.8891  0.2782 
   00281    0.4912   -5959.0471  0.2882 
   00282    0.4968   -5860.3792  0.2937 
   00283    0.4900   -5883.6817  0.2916 
   00284    0.4968   -6006.9940  0.2892 
   00285    0.4844   -5940.7089  0.2730 
   00286    0.4788   -6007.2554  0.2883 
   00287    0.4872   -6046.3215  0.2903 
   00288    0.4992   -6088.5544  0.3009 
   00289    0.5068   -6042.8388  0.2995 
   00290    0.4812   -6075.7417  0.3061 
   00291    0.5012   -6123.4947  0.3049 
   00292    0.4756   -6195.3573  0.3080 
   00293    0.4768   -6144.5482  0.3019 
   00294    0.4696   -6139.6517  0.3083 
   00295    0.4780   -6125.3836  0.3093 
   00296    0.4952   -6038.8458  0.3199 
   00297    0.4756   -6041.0698  0.3107 
   00298    0.4804   -6113.6884  0.3098 
   00299    0.4768   -5967.3219  0.3113 
   00300    0.4800   -5984.4081  0.3060 
   00301    0.4844   -6040.2934  0.2971 
   00302    0.4812   -6003.8176  0.2990 
   00303    0.4840   -6025.1778  0.3049 
   00304    0.4664   -6029.2664  0.2993 
   00305    0.4800   -6002.0972  0.2868 
   00306    0.4792   -5954.4175  0.2891 
   00307    0.4920   -5950.7034  0.2831 
   00308    0.4940   -5993.6835  0.2819 
   00309    0.4896   -6053.7772  0.2733 
   00310    0.4828   -6045.4783  0.2656 
   00311    0.4784   -5987.9163  0.2669 
   00312    0.4968   -5985.9268  0.2748 
   00313    0.4840   -6075.4749  0.2764 
   00314    0.4748   -6101.8245  0.2806 
   00315    0.4808   -6079.1022  0.2810 
   00316    0.4896   -6019.1360  0.2830 
   00317    0.4700   -5988.4606  0.2728 
   00318    0.4848   -6065.0424  0.2873 
   00319    0.4756   -6090.4849  0.2981 
   00320    0.4816   -6074.9310  0.3049 
   00321    0.4816   -6101.3350  0.3117 
   00322    0.4752   -6066.8710  0.3017 
   00323    0.4904   -6055.8327  0.3014 
   00324    0.5000   -6017.3029  0.3088 
   00325    0.4844   -6019.9438  0.3012 
   00326    0.4792   -6040.0461  0.3070 
   00327    0.4964   -6001.4973  0.2994 
   00328    0.4768   -5955.7011  0.2908 
   00329    0.5128   -5900.3924  0.3053 
   00330    0.5080   -5851.7985  0.3101 
   00331    0.4836   -5965.7066  0.3088 
   00332    0.5028   -6003.8567  0.3120 
   00333    0.5004   -5932.0440  0.3231 
   00334    0.4960   -5909.2056  0.3134 
   00335    0.4788   -5917.8484  0.3155 
   00336    0.4900   -5928.9931  0.3124 
   00337    0.4912   -5820.7378  0.3179 
   00338    0.4976   -5882.5527  0.3179 
   00339    0.4992   -5908.9194  0.3150 
   00340    0.5036   -5874.5365  0.3050 
   00341    0.5144   -5917.8390  0.3033 
   00342    0.4900   -5896.1778  0.2968 
   00343    0.5052   -5940.5605  0.2935 
   00344    0.5100   -5886.8288  0.2729 
   00345    0.4960   -5936.3746  0.2752 
   00346    0.4908   -5886.1344  0.2601 
   00347    0.4960   -5830.0120  0.2623 
   00348    0.4988   -5847.2960  0.2658 
   00349    0.4968   -5853.5580  0.2694 
   00350    0.4904   -5904.9933  0.2664 
   00351    0.4996   -5847.1943  0.2632 
   00352    0.4828   -5966.7750  0.2679 
   00353    0.4824   -5982.8554  0.2712 
   00354    0.4880   -5959.9518  0.2678 
   00355    0.4836   -5963.3589  0.2816 
   00356    0.4748   -5969.0233  0.2956 
   00357    0.4968   -6081.0470  0.2916 
   00358    0.4748   -6090.1990  0.2834 
   00359    0.4764   -6015.1937  0.2727 
   00360    0.4756   -6013.4990  0.2797 
   00361    0.4904   -5907.3135  0.2798 
   00362    0.4988   -5985.0848  0.2844 
   00363    0.4736   -5930.5409  0.2737 
   00364    0.4836   -5844.9898  0.2691 
   00365    0.5008   -5909.0452  0.2636 
   00366    0.4928   -5948.2412  0.2663 
   00367    0.4876   -5900.6900  0.2714 
   00368    0.4836   -5934.9292  0.2591 
   00369    0.4956   -5849.9885  0.2678 
   00370    0.5020   -5787.4770  0.2799 
   00371    0.4992   -5706.8450  0.2922 
   00372    0.5048   -5840.9227  0.2877 
   00373    0.4960   -5870.8072  0.2866 
   00374    0.5120   -5855.4082  0.2864 
   00375    0.4884   -5892.2820  0.2795 
   00376    0.4864   -5849.6325  0.2899 
   00377    0.5056   -5853.9335  0.2740 
   00378    0.4968   -5796.8656  0.2689 
   00379    0.5004   -5827.1807  0.2646 
   00380    0.4972   -5825.3920  0.2655 
   00381    0.5000   -5848.5190  0.2650 
   00382    0.5056   -5852.8136  0.2581 
   00383    0.5152   -5831.6056  0.2595 
   00384    0.4916   -5833.0820  0.2563 
   00385    0.5136   -5758.5726  0.2713 
   00386    0.4948   -5824.8509  0.2699 
   00387    0.4952   -5769.2168  0.2782 
   00388    0.5196   -5796.7383  0.2811 
   00389    0.5076   -5816.2106  0.2790 
   00390    0.5112   -5827.2574  0.2717 
   00391    0.5024   -5859.3266  0.2657 
   00392    0.4796   -5845.6256  0.2666 
   00393    0.4840   -5865.0044  0.2799 
   00394    0.4972   -5883.9829  0.2825 
   00395    0.5136   -5812.9645  0.2854 
   00396    0.4916   -5832.2549  0.2850 
   00397    0.4880   -5837.5481  0.2927 
   00398    0.4912   -5934.6871  0.2899 
   00399    0.5072   -5703.0865  0.2951 
   00400    0.5248   -5701.6952  0.2834 
   00401    0.5216   -5708.3935  0.2815 
   00402    0.5268   -5670.8699  0.2836 
   00403    0.5068   -5767.8803  0.2970 
   00404    0.5016   -5847.2710  0.2853 
   00405    0.5016   -5958.0305  0.2792 
   00406    0.4888   -5875.1343  0.2830 
   00407    0.5000   -5913.2123  0.2725 
   00408    0.5068   -5955.9612  0.2674 
   00409    0.4624   -5979.7882  0.2724 
   00410    0.4812   -5963.9355  0.2907 
   00411    0.5108   -5979.3958  0.2994 
   00412    0.5016   -5945.7105  0.2896 
   00413    0.5028   -5901.2617  0.2812 
   00414    0.4808   -5841.8450  0.2833 
   00415    0.5140   -5860.0353  0.2717 
   00416    0.5100   -5826.2130  0.2747 
   00417    0.4924   -5766.2149  0.2891 
   00418    0.5072   -5774.7924  0.2948 
   00419    0.4932   -5804.3624  0.3028 
   00420    0.4908   -5891.9247  0.2961 
   00421    0.5020   -5789.7534  0.3041 
   00422    0.4980   -5776.1796  0.3025 
   00423    0.4940   -5793.9344  0.2971 
   00424    0.4920   -5945.0293  0.2977 
   00425    0.4976   -5853.0697  0.2871 
   00426    0.4816   -5851.3573  0.2886 
   00427    0.5104   -5859.4956  0.2983 
   00428    0.4940   -5846.2678  0.3025 
   00429    0.4976   -5908.5084  0.3112 
   00430    0.4832   -5901.4190  0.3033 
   00431    0.4972   -5849.7925  0.3075 
   00432    0.5008   -5787.3793  0.2881 
   00433    0.5052   -5758.4311  0.2961 
   00434    0.5152   -5760.1427  0.2968 
   00435    0.4976   -5781.4505  0.2995 
   00436    0.4908   -5809.9566  0.2961 
   00437    0.4844   -5845.3862  0.2988 
   00438    0.5020   -5850.5997  0.3134 
   00439    0.5000   -5881.8812  0.3189 
   00440    0.4908   -5881.2804  0.3179 
   00441    0.5184   -5880.4522  0.3106 
   00442    0.5204   -5794.1319  0.3140 
   00443    0.5176   -5800.9958  0.3184 
   00444    0.4940   -5821.1500  0.3029 
   00445    0.4896   -5886.4194  0.3000 
   00446    0.4888   -5894.0190  0.2954 
   00447    0.4824   -5895.5144  0.2893 
   00448    0.4880   -5851.1790  0.2853 
   00449    0.4732   -5917.4301  0.2906 
   00450    0.5008   -5859.3430  0.2763 
   00451    0.4808   -5788.3857  0.2752 
   00452    0.5148   -5809.4295  0.2753 
   00453    0.4992   -5886.9355  0.2795 
   00454    0.4768   -5890.6193  0.2816 
