#=====================================================
# File created:        Tue-12-Mar-2024-at-11-37-41AM
# Size of lattice:     50x50
# Number of MC steps:  800
# Reduced temperature: 1.000
# Run time (s):        33.221455
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2407.7819  0.2548 
   00001    0.6952   -3696.0237  0.2549 
   00002    0.6316   -4386.2522  0.2550 
   00003    0.5812   -4748.3808  0.2558 
   00004    0.5720   -4958.1766  0.2568 
   00005    0.5756   -5198.2503  0.2568 
   00006    0.5628   -5356.6413  0.2559 
   00007    0.5356   -5420.1310  0.2532 
   00008    0.5288   -5528.8906  0.2606 
   00009    0.5104   -5553.2563  0.2593 
   00010    0.5116   -5690.4272  0.2595 
   00011    0.5024   -5784.1192  0.2596 
   00012    0.5052   -5781.8302  0.2600 
   00013    0.4956   -5756.4645  0.2615 
   00014    0.4992   -5743.8979  0.2639 
   00015    0.5248   -5804.2426  0.2684 
   00016    0.4884   -5710.6816  0.2665 
   00017    0.5200   -5732.8391  0.2650 
   00018    0.4896   -5789.2469  0.2680 
   00019    0.5196   -5813.7840  0.2669 
   00020    0.5056   -5916.8255  0.2717 
   00021    0.4804   -5864.5529  0.2702 
   00022    0.5108   -5850.8452  0.2679 
   00023    0.5020   -5789.7316  0.2674 
   00024    0.4948   -5888.2467  0.2664 
   00025    0.4964   -6002.8668  0.2674 
   00026    0.4812   -6021.9078  0.2670 
   00027    0.4888   -5935.6885  0.2640 
   00028    0.4992   -5792.9364  0.2632 
   00029    0.5020   -5820.9739  0.2641 
   00030    0.5032   -5819.3722  0.2642 
   00031    0.4940   -5961.0569  0.2598 
   00032    0.4860   -6031.7645  0.2618 
   00033    0.5108   -5959.2709  0.2612 
   00034    0.5064   -5951.0321  0.2604 
   00035    0.4888   -5972.8126  0.2616 
   00036    0.4716   -5999.1264  0.2666 
   00037    0.5028   -5938.4928  0.2685 
   00038    0.4760   -5912.9796  0.2722 
   00039    0.4724   -6065.6769  0.2772 
   00040    0.4908   -5994.9738  0.2778 
   00041    0.4740   -6031.3924  0.2806 
   00042    0.4780   -5872.6196  0.2808 
   00043    0.4800   -5813.6969  0.2823 
   00044    0.5072   -5859.1505  0.2823 
   00045    0.4804   -5826.9549  0.2818 
   00046    0.4988   -5839.2183  0.2837 
   00047    0.5004   -5921.2430  0.2869 
   00048    0.5120   -5830.1047  0.2831 
   00049    0.4880   -5809.5960  0.2820 
   00050    0.5060   -5846.2917  0.2799 
   00051    0.4920   -5878.9785  0.2836 
   00052    0.5000   -5877.0223  0.2800 
   00053    0.4960   -5945.0243  0.2779 
   00054    0.4788   -5980.6760  0.2763 
   00055    0.5088   -5915.4789  0.2739 
   00056    0.4804   -5927.7105  0.2759 
   00057    0.4964   -5822.6776  0.2692 
   00058    0.4892   -5914.1840  0.2700 
   00059    0.4916   -5815.6601  0.2745 
   00060    0.5144   -5848.1699  0.2747 
   00061    0.4832   -5876.2593  0.2759 
   00062    0.4800   -5870.3493  0.2735 
   00063    0.4872   -5851.0663  0.2676 
   00064    0.4780   -5921.0526  0.2682 
   00065    0.4844   -5910.6515  0.2651 
   00066    0.5124   -5932.3420  0.2636 
   00067    0.4892   -5868.6038  0.2599 
   00068    0.5132   -5806.2605  0.2580 
   00069    0.4868   -5906.0386  0.2577 
   00070    0.4856   -6028.2497  0.2610 
   00071    0.4776   -6012.9487  0.2549 
   00072    0.4788   -5956.1492  0.2512 
   00073    0.4612   -6018.4716  0.2531 
   00074    0.4796   -5942.5745  0.2554 
   00075    0.4892   -5921.7302  0.2563 
   00076    0.4824   -5940.6998  0.2573 
   00077    0.4908   -5925.0809  0.2602 
   00078    0.4844   -5892.2775  0.2594 
   00079    0.4948   -5935.7463  0.2625 
   00080    0.4900   -5901.3815  0.2606 
   00081    0.5012   -5991.2495  0.2634 
   00082    0.4800   -5898.7039  0.2671 
   00083    0.5104   -5881.4827  0.2706 
   00084    0.4952   -5882.5709  0.2698 
   00085    0.5016   -5887.5082  0.2647 
   00086    0.4928   -5822.5887  0.2637 
   00087    0.4944   -5820.3428  0.2612 
   00088    0.4960   -5815.4652  0.2626 
   00089    0.4912   -5894.0142  0.2673 
   00090    0.5016   -5933.3287  0.2675 
   00091    0.5052   -5893.8269  0.2696 
   00092    0.5008   -5865.5913  0.2694 
   00093    0.4828   -5951.0450  0.2675 
   00094    0.4924   -5818.0705  0.2657 
   00095    0.4736   -5892.2993  0.2667 
   00096    0.4948   -5954.3320  0.2703 
   00097    0.4884   -6002.3132  0.2709 
   00098    0.4868   -6013.8241  0.2702 
   00099    0.4776   -6037.8708  0.2743 
   00100    0.4876   -5983.4661  0.2729 
   00101    0.4892   -5974.0344  0.2721 
   00102    0.4904   -5914.2106  0.2724 
   00103    0.4892   -5929.4915  0.2725 
   00104    0.5008   -5900.8435  0.2758 
   00105    0.5092   -5963.1380  0.2745 
   00106    0.5028   -5949.8752  0.2745 
   00107    0.4920   -5908.2811  0.2752 
   00108    0.5000   -5915.8043  0.2777 
   00109    0.4820   -5861.8041  0.2762 
   00110    0.4968   -5839.8395  0.2719 
   00111    0.4932   -5835.8704  0.2750 
   00112    0.4900   -5807.8677  0.2743 
   00113    0.5088   -5765.5138  0.2742 
   00114    0.5004   -5835.0521  0.2785 
   00115    0.4856   -5867.2453  0.2780 
   00116    0.5112   -5825.0535  0.2737 
   00117    0.5080   -5787.2839  0.2718 
   00118    0.4920   -5779.3068  0.2707 
   00119    0.5164   -5765.9724  0.2736 
   00120    0.4928   -5781.4034  0.2775 
   00121    0.4728   -5816.2108  0.2771 
   00122    0.5036   -5759.4728  0.2739 
   00123    0.4988   -5748.6678  0.2731 
   00124    0.5020   -5848.5085  0.2703 
   00125    0.5128   -5950.7532  0.2775 
   00126    0.4908   -5866.1131  0.2792 
   00127    0.4864   -5853.4445  0.2837 
   00128    0.4912   -5934.0437  0.2869 
   00129    0.5116   -5866.5170  0.2899 
   00130    0.4936   -5873.3961  0.2899 
   00131    0.5128   -5825.6320  0.2871 
   00132    0.4912   -5858.2141  0.2857 
   00133    0.4956   -5789.0875  0.2829 
   00134    0.5056   -5793.3946  0.2811 
   00135    0.4828   -5809.8533  0.2804 
   00136    0.4888   -5873.7160  0.2822 
   00137    0.5056   -5855.7615  0.2821 
   00138    0.4924   -5918.3824  0.2828 
   00139    0.5096   -5912.6396  0.2839 
   00140    0.5032   -5935.4973  0.2793 
   00141    0.4936   -5862.1488  0.2791 
   00142    0.4744   -5835.3920  0.2849 
   00143    0.4760   -5855.1305  0.2825 
   00144    0.4788   -5797.8256  0.2838 
   00145    0.4824   -5830.1500  0.2845 
   00146    0.5112   -5840.1274  0.2887 
   00147    0.5144   -5935.9268  0.2867 
   00148    0.4680   -5953.5348  0.2844 
   00149    0.4848   -5952.6639  0.2834 
   00150    0.4808   -5947.0289  0.2822 
   00151    0.5208   -6004.0960  0.2841 
   00152    0.4812   -6043.1866  0.2869 
   00153    0.4708   -5874.9675  0.2873 
   00154    0.4928   -5799.3887  0.2862 
   00155    0.5040   -5900.8972  0.2874 
   00156    0.4812   -5894.5985  0.2830 
   00157    0.4988   -5906.9267  0.2867 
   00158    0.4876   -5857.4562  0.2899 
   00159    0.5044   -5870.4698  0.2902 
   00160    0.4892   -5908.6743  0.2886 
   00161    0.5008   -5910.1546  0.2913 
   00162    0.4988   -5920.8560  0.2879 
   00163    0.5072   -5942.8263  0.2906 
   00164    0.4740   -6081.6380  0.2896 
   00165    0.4804   -6066.0968  0.2870 
   00166    0.4752   -6091.3328  0.2842 
   00167    0.4752   -6094.9845  0.2870 
   00168    0.4724   -6065.3625  0.2870 
   00169    0.4748   -6123.9767  0.2842 
   00170    0.4652   -6050.6887  0.2877 
   00171    0.4948   -6042.5161  0.2864 
   00172    0.4848   -6014.9800  0.2859 
   00173    0.5004   -5986.2353  0.2895 
   00174    0.4772   -5988.6776  0.2853 
   00175    0.5100   -6005.0557  0.2857 
   00176    0.4608   -6093.1726  0.2830 
   00177    0.4808   -5978.3243  0.2836 
   00178    0.4848   -6022.2463  0.2874 
   00179    0.4880   -6026.0472  0.2920 
   00180    0.4880   -6060.7142  0.2929 
   00181    0.4680   -6157.8840  0.2871 
   00182    0.4716   -6128.2314  0.2866 
   00183    0.4780   -6143.7292  0.2852 
   00184    0.4776   -6195.0096  0.2838 
   00185    0.4720   -6186.6067  0.2851 
   00186    0.4712   -6096.4320  0.2862 
   00187    0.4976   -6055.0522  0.2883 
   00188    0.4812   -6008.7372  0.2927 
   00189    0.4688   -5972.8627  0.2921 
   00190    0.4964   -5967.5879  0.2926 
   00191    0.4812   -5822.8480  0.2890 
   00192    0.4804   -5971.8874  0.2884 
   00193    0.4932   -5950.8961  0.2930 
   00194    0.4900   -6055.0915  0.2917 
   00195    0.4856   -6089.2417  0.2891 
   00196    0.4968   -6049.2140  0.2884 
   00197    0.4800   -6068.3243  0.2920 
   00198    0.4844   -6011.1781  0.2916 
   00199    0.4920   -5949.8571  0.2946 
   00200    0.4892   -5952.9004  0.2908 
   00201    0.4952   -5968.5779  0.2907 
   00202    0.4848   -6027.4514  0.2894 
   00203    0.5012   -5979.6282  0.2875 
   00204    0.4848   -5997.5253  0.2930 
   00205    0.4848   -6064.5779  0.2955 
   00206    0.4880   -6034.1141  0.2913 
   00207    0.4772   -5968.5992  0.2892 
   00208    0.4740   -6023.1847  0.2878 
   00209    0.4884   -6093.3320  0.2851 
   00210    0.4768   -5956.7252  0.2849 
   00211    0.4880   -5964.8589  0.2836 
   00212    0.5140   -5947.9163  0.2870 
   00213    0.4844   -5990.2839  0.2872 
   00214    0.4944   -5848.5196  0.2886 
   00215    0.5076   -5796.5256  0.2882 
   00216    0.4944   -5835.1077  0.2900 
   00217    0.4776   -5953.0982  0.2916 
   00218    0.4996   -5974.2641  0.2908 
   00219    0.4832   -6025.0614  0.2916 
   00220    0.4872   -5951.9272  0.2910 
   00221    0.4676   -5932.5326  0.2938 
   00222    0.5024   -5858.3745  0.2876 
   00223    0.4976   -6025.6752  0.2894 
   00224    0.4908   -6002.5211  0.2885 
   00225    0.4868   -5989.4630  0.2839 
   00226    0.5040   -5969.2551  0.2781 
   00227    0.4968   -5955.4670  0.2754 
   00228    0.4860   -5970.2249  0.2786 
   00229    0.4972   -5937.4534  0.2769 
   00230    0.4884   -5982.1117  0.2795 
   00231    0.4852   -6005.5341  0.2724 
   00232    0.4952   -5860.4823  0.2713 
   00233    0.5024   -5825.5563  0.2729 
   00234    0.4844   -5812.9332  0.2681 
   00235    0.4972   -5876.8093  0.2716 
   00236    0.5028   -5833.3425  0.2695 
   00237    0.4880   -5904.7786  0.2728 
   00238    0.4904   -5850.0871  0.2747 
   00239    0.4868   -5832.9832  0.2727 
   00240    0.5056   -5796.2915  0.2728 
   00241    0.5152   -5867.5487  0.2757 
   00242    0.5080   -5893.0344  0.2746 
   00243    0.5076   -5927.8644  0.2741 
   00244    0.4860   -5921.4239  0.2728 
   00245    0.4932   -5888.0791  0.2741 
   00246    0.4844   -5866.3730  0.2758 
   00247    0.4812   -5957.9530  0.2747 
   00248    0.4668   -6007.4736  0.2734 
   00249    0.4844   -6005.1934  0.2770 
   00250    0.4956   -5939.7848  0.2746 
   00251    0.4796   -5961.6092  0.2754 
   00252    0.4804   -5900.9326  0.2735 
   00253    0.4916   -5895.3104  0.2772 
   00254    0.4888   -5928.7973  0.2753 
   00255    0.4936   -5914.6874  0.2721 
   00256    0.4896   -5889.6908  0.2719 
   00257    0.5008   -5936.0868  0.2696 
   00258    0.4948   -5970.6227  0.2715 
   00259    0.5064   -5918.7969  0.2734 
   00260    0.5044   -5843.4345  0.2719 
   00261    0.4980   -5843.9006  0.2750 
   00262    0.4956   -5809.4603  0.2747 
   00263    0.5076   -5759.8305  0.2708 
   00264    0.5024   -5746.1130  0.2689 
   00265    0.4876   -5894.5389  0.2716 
   00266    0.4940   -5885.8201  0.2690 
   00267    0.4900   -5966.7846  0.2757 
   00268    0.4880   -5893.8937  0.2770 
   00269    0.4808   -5846.4685  0.2790 
