         945693 function calls (931690 primitive calls) in 0.934 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1388    0.077    0.000    0.077    0.000 {built-in method posix.stat}
     6793    0.061    0.000    0.103    0.000 inspect.py:625(cleandoc)
      290    0.052    0.000    0.052    0.000 {built-in method marshal.loads}
      290    0.051    0.000    0.051    0.000 {method 'read' of '_io.BufferedReader' objects}
       28    0.051    0.002    0.051    0.002 {built-in method _imp.create_dynamic}
     9273    0.022    0.000    0.022    0.000 {method 'search' of 're.Pattern' objects}
1140/1030    0.022    0.000    0.402    0.000 {built-in method builtins.__build_class__}
      427    0.020    0.000    0.020    0.000 {built-in method builtins.dir}
      290    0.018    0.000    0.018    0.000 {built-in method io.open_code}
      213    0.014    0.000    0.046    0.000 artist.py:1521(get_setters)
    63983    0.013    0.000    0.014    0.000 {built-in method builtins.getattr}
     4050    0.013    0.000    0.156    0.000 artist.py:1474(get_valid_values)
    86638    0.012    0.000    0.012    0.000 {method 'startswith' of 'str' objects}
        1    0.012    0.012    0.012    0.012 image.py:1420(BboxImage)
      213    0.012    0.000    0.022    0.000 artist.py:1457(<listcomp>)
      213    0.011    0.000    0.071    0.000 artist.py:1446(get_aliases)
139151/138048    0.011    0.000    0.012    0.000 {built-in method builtins.len}
    52321    0.011    0.000    0.011    0.000 {built-in method builtins.min}
  479/209    0.011    0.000    0.027    0.000 sre_parse.py:493(_parse)
       16    0.010    0.001    0.010    0.001 _type_aliases.py:58(bitname)
        1    0.010    0.010    0.054    0.054 multiarray.py:1(<module>)
       30    0.009    0.000    0.013    0.000 enum.py:157(__new__)
    56024    0.009    0.000    0.012    0.000 {built-in method builtins.isinstance}
    73970    0.008    0.000    0.008    0.000 {method 'lstrip' of 'str' objects}
     6499    0.008    0.000    0.014    0.000 inspect.py:2489(__init__)
15432/15423    0.008    0.000    0.010    0.000 {method 'join' of 'str' objects}
      590    0.008    0.000    0.099    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      963    0.008    0.000    0.010    0.000 inspect.py:2772(__init__)
      690    0.007    0.000    0.019    0.000 inspect.py:2124(_signature_from_function)
     8261    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
     7092    0.007    0.000    0.060    0.000 re.py:289(_compile)
     6764    0.007    0.000    0.099    0.000 inspect.py:606(getdoc)
      112    0.006    0.000    0.191    0.002 artist.py:1602(pprint_setters)
    28/23    0.006    0.000    0.034    0.001 {built-in method _imp.exec_dynamic}
 1072/206    0.005    0.000    0.012    0.000 sre_compile.py:71(_compile)
     4050    0.005    0.000    0.011    0.000 artist.py:1559(aliased_name)
  776/710    0.005    0.000    0.028    0.000 inspect.py:2218(_signature_from_callable)
10362/10321    0.005    0.000    0.009    0.000 {built-in method builtins.hasattr}
     6804    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
    338/1    0.005    0.000    0.934    0.934 {built-in method builtins.exec}
       30    0.004    0.000    0.026    0.001 __init__.py:835(_rc_params_in_file)
       34    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
      290    0.004    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
    32405    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
      290    0.004    0.000    0.140    0.000 <frozen importlib._bootstrap_external>:914(get_code)
     6944    0.004    0.000    0.007    0.000 enum.py:313(__call__)
     2617    0.003    0.000    0.004    0.000 {built-in method __new__ of type object at 0x902780}
     3169    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     5304    0.003    0.000    0.046    0.000 re.py:198(search)
     6142    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
     7459    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
      812    0.003    0.000    0.005    0.000 functools.py:34(update_wrapper)
 1281/419    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
      354    0.003    0.000    0.112    0.000 <frozen importlib._bootstrap>:890(_find_spec)
     5974    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
      580    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     3169    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
    363/4    0.003    0.000    0.934    0.233 <frozen importlib._bootstrap>:986(_find_and_load)
      168    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
     4212    0.002    0.000    0.003    0.000 {built-in method builtins.sorted}
       40    0.002    0.000    0.006    0.000 __init__.py:313(namedtuple)
      753    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
  335/334    0.002    0.000    0.106    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      100    0.002    0.000    0.009    0.000 artist.py:170(<listcomp>)
    29071    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
    10998    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
 1427/165    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
      577    0.002    0.000    0.003    0.000 enum.py:75(__setitem__)
    339/4    0.002    0.000    0.929    0.232 <frozen importlib._bootstrap>:650(_load_unlocked)
      338    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      753    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
     4984    0.002    0.000    0.004    0.000 sre_parse.py:254(get)
    360/4    0.002    0.000    0.934    0.233 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      753    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.002    0.002    0.002    0.002 {method 'readlines' of '_io._IOBase' objects}
     6939    0.002    0.000    0.002    0.000 enum.py:631(__new__)
     8903    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     3382    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     2654    0.001    0.000    0.002    0.000 __init__.py:421(_strip_comment)
       28    0.001    0.000    1.121    0.040 __init__.py:1(<module>)
       20    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      618    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
       24    0.001    0.000    0.003    0.000 util.py:186(_collapse_string_to_ranges)
  448/206    0.001    0.000    0.028    0.000 sre_parse.py:435(_parse_sub)
      580    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      318    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
     5467    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
       33    0.001    0.000    0.001    0.000 {built-in method io.open}
      614    0.001    0.000    0.002    0.000 _inspect.py:65(getargs)
     5104    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
     9152    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      188    0.001    0.000    0.001    0.000 colors.py:1101(<listcomp>)
      775    0.001    0.000    0.002    0.000 inspect.py:493(unwrap)
      206    0.001    0.000    0.049    0.000 sre_compile.py:759(compile)
