LebwohlLasher.py: Size: 150, Steps: 150, T*: 0.500: Order: 0.325, Time: 91.171391 s
         15096756 function calls (15072859 primitive calls) in 98.508 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 10147500   56.464    0.000   56.464    0.000 LebwohlLasher.py:131(one_energy)
      151   20.838    0.138   20.883    0.138 LebwohlLasher.py:182(get_order)
      150    8.107    0.054   52.459    0.350 LebwohlLasher.py:210(MC_step)
  2626779    5.166    0.000    5.166    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
        2    5.112    2.556    6.022    3.011 {method 'mainloop' of '_tkinter.tkapp' objects}
      151    0.747    0.005   18.203    0.121 LebwohlLasher.py:165(all_energy)
        2    0.107    0.053    0.126    0.063 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    45114    0.094    0.000    0.157    0.000 __init__.py:134(check_shape)
        2    0.094    0.047    0.094    0.047 {built-in method _tkinter.create}
      300    0.094    0.000    0.099    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
      432    0.081    0.000    0.094    0.000 {method 'call' of '_tkinter.tkapp' objects}
      150    0.080    0.001    0.080    0.001 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
    45108    0.069    0.000    0.400    0.000 path.py:99(__init__)
     1576    0.056    0.000    0.056    0.000 {built-in method posix.stat}
    45108    0.054    0.000    0.141    0.000 path.py:202(_update_values)
      322    0.051    0.000    0.051    0.000 {built-in method marshal.loads}
     6796    0.050    0.000    0.085    0.000 inspect.py:625(cleandoc)
    97365    0.043    0.000    0.086    0.000 __init__.py:729(__getitem__)
        4    0.035    0.009    0.433    0.108 collections.py:1195(<listcomp>)
3407/2182    0.032    0.000    0.099    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    97680    0.031    0.000    0.042    0.000 __init__.py:678(_get)
277139/276024    0.028    0.000    0.028    0.000 {built-in method builtins.len}
    45794    0.027    0.000    0.052    0.000 {built-in method builtins.any}
   135342    0.024    0.000    0.024    0.000 __init__.py:154(<genexpr>)
    45334    0.020    0.000    0.034    0.000 __init__.py:1337(_to_unmasked_float_array)
       34    0.020    0.001    0.021    0.001 {built-in method _imp.create_dynamic}
     9273    0.019    0.000    0.019    0.000 {method 'search' of 're.Pattern' objects}
      428    0.019    0.000    0.019    0.000 {built-in method builtins.dir}
        2    0.019    0.009    0.029    0.014 quiver.py:665(_h_arrows)
1238/1125    0.018    0.000    0.339    0.000 {built-in method builtins.__build_class__}
    73177    0.016    0.000    0.019    0.000 {built-in method builtins.getattr}
        2    0.016    0.008    0.057    0.028 quiver.py:607(_make_verts)
        7    0.012    0.002    0.013    0.002 linalg.py:469(inv)
    97685    0.012    0.000    0.012    0.000 {function RcParams.__getitem__ at 0x7f1e152b4d30}
     4050    0.011    0.000    0.132    0.000 artist.py:1474(get_valid_values)
        1    0.011    0.011    0.011    0.011 image.py:1420(BboxImage)
      213    0.011    0.000    0.037    0.000 artist.py:1521(get_setters)
    71498    0.011    0.000    0.015    0.000 {built-in method builtins.isinstance}
    46567    0.011    0.000    0.011    0.000 {built-in method numpy.asarray}
     1801    0.011    0.000    0.011    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      213    0.011    0.000    0.060    0.000 artist.py:1446(get_aliases)
57597/57556    0.010    0.000    0.012    0.000 {built-in method builtins.hasattr}
    88078    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
      213    0.009    0.000    0.019    0.000 artist.py:1457(<listcomp>)
  5430/90    0.009    0.000    0.022    0.000 copy.py:128(deepcopy)
      151    0.009    0.000    0.019    0.000 linalg.py:1168(eig)
    52377    0.009    0.000    0.009    0.000 {built-in method builtins.min}
        4    0.009    0.002    0.009    0.002 {method 'repeat' of 'numpy.ndarray' objects}
  483/211    0.009    0.000    0.023    0.000 sre_parse.py:493(_parse)
      671    0.007    0.000    0.075    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
    74061    0.007    0.000    0.007    0.000 {method 'lstrip' of 'str' objects}
     6509    0.007    0.000    0.012    0.000 inspect.py:2489(__init__)
    57726    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
     8020    0.007    0.000    0.052    0.000 re.py:289(_compile)
      971    0.006    0.000    0.009    0.000 inspect.py:2772(__init__)
     7961    0.006    0.000    0.011    0.000 enum.py:313(__call__)
16010/16001    0.006    0.000    0.008    0.000 {method 'join' of 'str' objects}
