LebwohlLasher: Size: 50, Steps: 50, T*: 0.500: Order: 0.285, Time: 2.189108 s
         950682 function calls (936320 primitive calls) in 2.984 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.202    2.202    2.216    2.216 run_LebwohlLasher_cdef.py:4(main)
     1383    0.076    0.000    0.076    0.000 {built-in method posix.stat}
      290    0.055    0.000    0.055    0.000 {built-in method marshal.loads}
     6793    0.054    0.000    0.091    0.000 inspect.py:625(cleandoc)
       29    0.033    0.001    0.037    0.001 {built-in method _imp.create_dynamic}
     9273    0.020    0.000    0.020    0.000 {method 'search' of 're.Pattern' objects}
      427    0.020    0.000    0.020    0.000 {built-in method builtins.dir}
1140/1030    0.018    0.000    0.355    0.000 {built-in method builtins.__build_class__}
      963    0.017    0.000    0.020    0.000 inspect.py:2772(__init__)
    64144    0.013    0.000    0.013    0.000 {built-in method builtins.getattr}
      213    0.012    0.000    0.041    0.000 artist.py:1521(get_setters)
     4050    0.012    0.000    0.140    0.000 artist.py:1474(get_valid_values)
    86639    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
      213    0.010    0.000    0.020    0.000 artist.py:1457(<listcomp>)
      213    0.010    0.000    0.064    0.000 artist.py:1446(get_aliases)
139202/138099    0.010    0.000    0.010    0.000 {built-in method builtins.len}
  479/209    0.009    0.000    0.024    0.000 sre_parse.py:493(_parse)
    52321    0.009    0.000    0.009    0.000 {built-in method builtins.min}
    56068    0.008    0.000    0.010    0.000 {built-in method builtins.isinstance}
    73970    0.008    0.000    0.008    0.000 {method 'lstrip' of 'str' objects}
      584    0.008    0.000    0.095    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
     6499    0.007    0.000    0.014    0.000 inspect.py:2489(__init__)
      290    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
      690    0.007    0.000    0.029    0.000 inspect.py:2124(_signature_from_function)
15398/15389    0.007    0.000    0.009    0.000 {method 'join' of 'str' objects}
      290    0.006    0.000    0.006    0.000 {built-in method io.open_code}
     7092    0.006    0.000    0.053    0.000 re.py:289(_compile)
     8261    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
     6764    0.006    0.000    0.087    0.000 inspect.py:606(getdoc)
      112    0.005    0.000    0.172    0.002 artist.py:1602(pprint_setters)
     29/1    0.005    0.000    0.752    0.752 {built-in method _imp.exec_dynamic}
     4050    0.005    0.000    0.010    0.000 artist.py:1559(aliased_name)
    338/1    0.005    0.000    2.984    2.984 {built-in method builtins.exec}
 1072/206    0.005    0.000    0.011    0.000 sre_compile.py:71(_compile)
     6944    0.005    0.000    0.007    0.000 enum.py:313(__call__)
       30    0.005    0.000    0.008    0.000 enum.py:157(__new__)
     6804    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
10413/10372    0.004    0.000    0.008    0.000 {built-in method builtins.hasattr}
     2617    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x902780}
    32558    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
      812    0.003    0.000    0.006    0.000 functools.py:34(update_wrapper)
  776/710    0.003    0.000    0.036    0.000 inspect.py:2218(_signature_from_callable)
       30    0.003    0.000    0.023    0.001 __init__.py:835(_rc_params_in_file)
      290    0.003    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:914(get_code)
 1014/539    0.003    0.000    0.014    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      290    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
     3135    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     5304    0.003    0.000    0.043    0.000 re.py:198(search)
      355    0.003    0.000    0.106    0.000 <frozen importlib._bootstrap>:890(_find_spec)
     6141    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
     3135    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
 1281/419    0.003    0.000    0.003    0.000 sre_parse.py:174(getwidth)
      580    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     7459    0.002    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
      756    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     5974    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
       40    0.002    0.000    0.006    0.000 __init__.py:313(namedtuple)
  335/334    0.002    0.000    0.101    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
       51    0.002    0.000    0.005    0.000 linalg.py:969(eigvals)
      168    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
    366/1    0.002    0.000    0.768    0.768 <frozen importlib._bootstrap>:986(_find_and_load)
      614    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
      100    0.002    0.000    0.008    0.000 artist.py:170(<listcomp>)
     4212    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
      756    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
    29071    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
    11104    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    341/1    0.002    0.000    0.765    0.765 <frozen importlib._bootstrap>:650(_load_unlocked)
      340    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      756    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
    363/1    0.002    0.000    0.768    0.768 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      290    0.002    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
       28    0.002    0.000    0.960    0.034 __init__.py:1(<module>)
      314    0.002    0.000    0.012    0.000 overrides.py:170(decorator)
      253    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     4984    0.002    0.000    0.003    0.000 sre_parse.py:254(get)
      580    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      284    0.001    0.000    0.007    0.000 overrides.py:88(verify_matching_signatures)
     3352    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     8903    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       51    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
 1439/167    0.001    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
     6939    0.001    0.000    0.002    0.000 enum.py:631(__new__)
      319    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
     2654    0.001    0.000    0.002    0.000 __init__.py:421(_strip_comment)
      344    0.001    0.000    0.002    0.000 inspect.py:534(_findclass)
     5104    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      188    0.001    0.000    0.001    0.000 colors.py:1101(<listcomp>)
  448/206    0.001    0.000    0.025    0.000 sre_parse.py:435(_parse_sub)
      775    0.001    0.000    0.002    0.000 inspect.py:493(unwrap)
   470/57    0.001    0.000    0.641    0.011 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      577    0.001    0.000    0.002    0.000 enum.py:75(__setitem__)
       34    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     5467    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      206    0.001    0.000    0.043    0.000 sre_compile.py:759(compile)
        1    0.001    0.001    0.073    0.073 rcsetup.py:1(<module>)
    290/3    0.001    0.000    0.747    0.249 <frozen importlib._bootstrap_external>:842(exec_module)
      618    0.001    0.000    0.005    0.000 _inspect.py:96(getargspec)
     1372    0.001    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     9084    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    441/8    0.001    0.000    0.706    0.088 {built-in method builtins.__import__}
       24    0.001    0.000    0.002    0.000 util.py:186(_collapse_string_to_ranges)
      206    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
      317    0.001    0.000    0.004    0.000 function_base.py:483(add_newdoc)
     4531    0.001    0.000    0.001    0.000 artist.py:1567(<genexpr>)
     3288    0.001    0.000    0.001    0.000 inspect.py:2821(<genexpr>)
       92    0.001    0.000    0.010    0.000 __init__.py:1372(_preprocess_data)
      461    0.001    0.000    0.003    0.000 copy.py:66(copy)
1608/1442    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      870    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
 3344/795    0.001    0.000    0.001    0.000 __init__.py:362(recursive_subclasses)
      244    0.001    0.000    0.001    0.000 core.py:461(__init__)
      101    0.001    0.000    0.003    0.000 deprecation.py:128(deprecate)
     8567    0.001    0.000    0.001    0.000 inspect.py:2539(name)
      667    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
        1    0.001    0.001    0.001    0.001 colorbar.py:195(Colorbar)
       21    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
  340/337    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
      319    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      100    0.001    0.000    0.254    0.003 artist.py:159(_update_set_signature_and_docstring)
      969    0.001    0.000    0.015    0.000 __init__.py:699(__setitem__)
       36    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      132    0.001    0.000    0.028    0.000 _docstring.py:38(__call__)
      206    0.001    0.000    0.026    0.000 sre_parse.py:937(parse)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1564(_guarded_repr_or_str)
     2299    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      290    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
   273/11    0.001    0.000    0.004    0.000 core.py:811(_parseNoCache)
     6941    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     5734    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     1043    0.001    0.000    0.001    0.000 typing.py:762(__setattr__)
      344    0.001    0.000    0.004    0.000 inspect.py:544(_finddoc)
     2510    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      169    0.001    0.000    0.002    0.000 colors.py:307(_to_rgba_no_colorcycle)
       30    0.001    0.000    0.001    0.000 function_base.py:23(linspace)
      213    0.001    0.000    0.065    0.000 artist.py:1426(__init__)
      390    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      649    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2686    0.001    0.000    0.001    0.000 util.py:189(is_consecutive)
      319    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
      429    0.001    0.000    0.012    0.000 artist.py:1540(number_of_parameters)
      627    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
      100    0.001    0.000    0.018    0.000 deprecation.py:416(make_keyword_only)
     2483    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
     5312    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      365    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
     7007    0.001    0.000    0.001    0.000 inspect.py:2551(kind)
      112    0.001    0.000    0.201    0.002 artist.py:1841(kwdoc)
      151    0.001    0.000    0.002    0.000 fromnumeric.py:69(_wrapreduction)
