LebwohlLasher: Size: 100, Steps: 100, T*: 0.500: Order: 0.285, Time: 15.012627 s
         1711309 function calls (1688914 primitive calls) in 22.068 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   15.117   15.117   21.414   21.414 run_LebwohlLasher_cdef.py:4(main)
        2    5.335    2.668    6.030    3.015 {method 'mainloop' of '_tkinter.tkapp' objects}
      604    0.081    0.000    0.091    0.000 {method 'call' of '_tkinter.tkapp' objects}
        2    0.079    0.040    0.079    0.040 {built-in method _tkinter.create}
    20102    0.057    0.000    0.096    0.000 __init__.py:134(check_shape)
     1578    0.052    0.000    0.052    0.000 {built-in method posix.stat}
     6796    0.049    0.000    0.083    0.000 inspect.py:625(cleandoc)
      322    0.046    0.000    0.046    0.000 {built-in method marshal.loads}
        2    0.046    0.023    0.053    0.027 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    20096    0.044    0.000    0.245    0.000 path.py:99(__init__)
       35    0.028    0.001    0.031    0.001 {built-in method _imp.create_dynamic}
    20096    0.027    0.000    0.077    0.000 path.py:202(_update_values)
    46579    0.026    0.000    0.054    0.000 __init__.py:729(__getitem__)
    20286    0.021    0.000    0.029    0.000 __init__.py:1337(_to_unmasked_float_array)
        4    0.021    0.005    0.264    0.066 collections.py:1195(<listcomp>)
    46894    0.020    0.000    0.028    0.000 __init__.py:678(_get)
     9273    0.018    0.000    0.018    0.000 {method 'search' of 're.Pattern' objects}
      428    0.018    0.000    0.018    0.000 {built-in method builtins.dir}
      971    0.017    0.000    0.019    0.000 inspect.py:2772(__init__)
1238/1125    0.017    0.000    0.325    0.000 {built-in method builtins.__build_class__}
    72580    0.017    0.000    0.020    0.000 {built-in method builtins.getattr}
    60306    0.017    0.000    0.017    0.000 __init__.py:154(<genexpr>)
3181/2218    0.017    0.000    0.073    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
202062/200947    0.016    0.000    0.017    0.000 {built-in method builtins.len}
    20782    0.016    0.000    0.034    0.000 {built-in method builtins.any}
       10    0.014    0.001    0.015    0.001 linalg.py:469(inv)
        2    0.013    0.007    0.015    0.007 quiver.py:665(_h_arrows)
    71804    0.011    0.000    0.015    0.000 {built-in method builtins.isinstance}
      213    0.011    0.000    0.036    0.000 artist.py:1521(get_setters)
     4050    0.011    0.000    0.127    0.000 artist.py:1474(get_valid_values)
    88079    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
      213    0.009    0.000    0.019    0.000 artist.py:1457(<listcomp>)
      213    0.009    0.000    0.058    0.000 artist.py:1446(get_aliases)
    21548    0.008    0.000    0.009    0.000 {built-in method numpy.asarray}
     1799    0.008    0.000    0.008    0.000 {method 'getint' of '_tkinter.tkapp' objects}
    46899    0.008    0.000    0.008    0.000 {function RcParams.__getitem__ at 0x7fd8a7c19d30}
  483/211    0.008    0.000    0.020    0.000 sre_parse.py:493(_parse)
     1453    0.008    0.000    0.008    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    52377    0.008    0.000    0.008    0.000 {built-in method builtins.min}
32370/32329    0.007    0.000    0.010    0.000 {built-in method builtins.hasattr}
      137    0.007    0.000    0.024    0.000 __init__.py:1547(_substitute)
     2203    0.007    0.000    0.007    0.000 {method 'copy' of 'numpy.ndarray' objects}
      672    0.007    0.000    0.072    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
    74061    0.007    0.000    0.007    0.000 {method 'lstrip' of 'str' objects}
        2    0.007    0.003    0.024    0.012 quiver.py:607(_make_verts)
1657/1653    0.007    0.000    0.027    0.000 __init__.py:301(process)
  4344/72    0.006    0.000    0.016    0.000 copy.py:128(deepcopy)
     6509    0.006    0.000    0.012    0.000 inspect.py:2489(__init__)
      101    0.006    0.000    0.006    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
16011/16002    0.006    0.000    0.008    0.000 {method 'join' of 'str' objects}
     7924    0.006    0.000    0.047    0.000 re.py:289(_compile)
      694    0.006    0.000    0.028    0.000 inspect.py:2124(_signature_from_function)
     8624    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
     7903    0.006    0.000    0.011    0.000 enum.py:313(__call__)
      322    0.005    0.000    0.005    0.000 {built-in method io.open_code}
     1003    0.005    0.000    0.006    0.000 transforms.py:194(set_children)
     2019    0.005    0.000    0.008    0.000 transforms.py:1772(__init__)
     6764    0.005    0.000    0.079    0.000 inspect.py:606(getdoc)
       36    0.005    0.000    0.009    0.000 enum.py:157(__new__)
        2    0.005    0.002    0.005    0.002 {built-in method matplotlib.backends._tkagg.blit}
      112    0.005    0.000    0.154    0.001 artist.py:1602(pprint_setters)
8180/7150    0.005    0.000    0.008    0.000 artist.py:319(stale)
      626    0.005    0.000    0.021    0.000 artist.py:1180(_update_props)
        4    0.005    0.001    0.005    0.001 {built-in method matplotlib._c_internal_utils.display_is_valid}
      592    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
     4050    0.004    0.000    0.009    0.000 artist.py:1559(aliased_name)
     35/7    0.004    0.000    0.643    0.092 {built-in method _imp.exec_dynamic}
      101    0.004    0.000    0.009    0.000 linalg.py:969(eigvals)
 1076/208    0.004    0.000    0.009    0.000 sre_compile.py:71(_compile)
      107    0.004    0.000    0.005    0.000 {built-in method matplotlib._path.point_in_path}
    31538    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
     3728    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x902780}
       38    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
    25465    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
    372/1    0.004    0.000   22.068   22.068 {built-in method builtins.exec}
     6807    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
      141    0.004    0.000    0.037    0.000 patches.py:742(get_patch_transform)
    37252    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
     1553    0.004    0.000    0.004    0.000 {built-in method numpy.array}
     1078    0.004    0.000    0.010    0.000 transforms.py:1889(__init__)
       72    0.004    0.000    0.019    0.000 text.py:363(_get_layout)
     2990    0.003    0.000    0.003    0.000 transforms.py:110(__init__)
