LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.395, Time: 2.870343 s
         2729708 function calls (2654565 primitive calls) in 5.485 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    1.367    0.027    1.382    0.027 LebwohlLasher_numba.py:185(get_order)
       50    1.065    0.021    1.503    0.030 LebwohlLasher_numba.py:213(MC_step)
    94813    0.289    0.000    0.289    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
     2180    0.191    0.000    0.232    0.000 ffi.py:188(__call__)
     2482    0.176    0.000    0.176    0.000 {built-in method posix.stat}
   250000    0.139    0.000    0.139    0.000 LebwohlLasher_numba.py:132(one_energy)
      574    0.132    0.000    0.132    0.000 {built-in method marshal.loads}
     6793    0.104    0.000    0.167    0.000 inspect.py:625(cleandoc)
2844/2730    0.051    0.000    0.651    0.000 {built-in method builtins.__build_class__}
279457/279431    0.047    0.000    0.068    0.000 {built-in method builtins.isinstance}
     6609    0.038    0.000    0.038    0.000 {built-in method __new__ of type object at 0x902780}
32836/5535    0.035    0.000    0.052    0.000 ir.py:317(_rec_list_vars)
    37/36    0.035    0.001    0.036    0.001 {built-in method _imp.create_dynamic}
     9406    0.034    0.000    0.034    0.000 {method 'search' of 're.Pattern' objects}
     1071    0.033    0.000    0.056    0.000 templates.py:880(make_overload_template)
      514    0.029    0.000    0.029    0.000 {built-in method builtins.dir}
91111/91034    0.028    0.000    0.033    0.000 {built-in method builtins.getattr}
183898/181838    0.022    0.000    0.023    0.000 {built-in method builtins.len}
   101024    0.021    0.000    0.021    0.000 {method 'startswith' of 'str' objects}
      213    0.020    0.000    0.063    0.000 artist.py:1521(get_setters)
      574    0.019    0.000    0.019    0.000 {method 'read' of '_io.BufferedReader' objects}
20179/13770    0.018    0.000    0.042    0.000 {method 'format' of 'str' objects}
      315    0.018    0.000    0.020    0.000 sre_compile.py:276(_optimize_charset)
      213    0.017    0.000    0.035    0.000 artist.py:1457(<listcomp>)
    56030    0.017    0.000    0.017    0.000 {built-in method builtins.min}
     4050    0.017    0.000    0.233    0.000 artist.py:1474(get_valid_values)
        2    0.017    0.008    0.017    0.008 {built-in method _ctypes.dlopen}
      213    0.017    0.000    0.104    0.000 artist.py:1446(get_aliases)
  665/259    0.016    0.000    0.043    0.000 sre_parse.py:493(_parse)
      950    0.016    0.000    0.213    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
       51    0.015    0.000    0.015    0.000 LebwohlLasher_numba.py:167(all_energy)
     7082    0.014    0.000    0.024    0.000 inspect.py:2489(__init__)
23334/23292    0.014    0.000    0.024    0.000 {method 'join' of 'str' objects}
