LebwohlLasher_numpy.py: Size: 100, Steps: 100, T*: 0.500: Order: 0.322, Time: 5.667886 s
         2706921 function calls (2684830 primitive calls) in 11.107 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1010200    5.414    0.000    5.414    0.000 LebwohlLasher_numpy.py:98(one_energy)
        2    3.786    1.893    4.394    2.197 {method 'mainloop' of '_tkinter.tkapp' objects}
      101    0.200    0.002    5.307    0.053 LebwohlLasher_numpy.py:129(all_energy)
        2    0.084    0.042    0.084    0.042 {built-in method _tkinter.create}
      446    0.082    0.000    0.095    0.000 {method 'call' of '_tkinter.tkapp' objects}
     1576    0.069    0.000    0.069    0.000 {built-in method posix.stat}
      101    0.055    0.001    0.086    0.001 LebwohlLasher_numpy.py:146(get_order)
     6796    0.049    0.000    0.082    0.000 inspect.py:625(cleandoc)
      322    0.048    0.000    0.048    0.000 {built-in method marshal.loads}
        2    0.045    0.023    0.053    0.026 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      100    0.045    0.000    0.406    0.004 LebwohlLasher_numpy.py:170(MC_step)
    20096    0.044    0.000    0.230    0.000 path.py:99(__init__)
    20096    0.042    0.000    0.084    0.000 __init__.py:134(check_shape)
        2    0.032    0.016    0.042    0.021 quiver.py:607(_make_verts)
        4    0.027    0.007    0.255    0.064 collections.py:1195(<listcomp>)
    46888    0.027    0.000    0.036    0.000 __init__.py:678(_get)
    20096    0.026    0.000    0.079    0.000 path.py:202(_update_values)
      100    0.024    0.000    0.024    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
       34    0.022    0.001    0.023    0.001 {built-in method _imp.create_dynamic}
    46573    0.020    0.000    0.056    0.000 __init__.py:729(__getitem__)
1238/1125    0.019    0.000    0.325    0.000 {built-in method builtins.__build_class__}
     9273    0.019    0.000    0.019    0.000 {method 'search' of 're.Pattern' objects}
      428    0.018    0.000    0.018    0.000 {built-in method builtins.dir}
    60288    0.018    0.000    0.018    0.000 __init__.py:154(<genexpr>)
201989/200874    0.017    0.000    0.017    0.000 {built-in method builtins.len}
      200    0.016    0.000    0.019    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
    20286    0.016    0.000    0.023    0.000 __init__.py:1337(_to_unmasked_float_array)
    20776    0.015    0.000    0.034    0.000 {built-in method builtins.any}
    72078    0.015    0.000    0.019    0.000 {built-in method builtins.getattr}
3804/2942    0.015    0.000    0.064    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2245    0.014    0.000    0.014    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      213    0.011    0.000    0.037    0.000 artist.py:1521(get_setters)
    71244    0.011    0.000    0.015    0.000 {built-in method builtins.isinstance}
     4050    0.011    0.000    0.127    0.000 artist.py:1474(get_valid_values)
        1    0.010    0.010    0.010    0.010 image.py:1420(BboxImage)
    88078    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
      213    0.010    0.000    0.019    0.000 artist.py:1457(<listcomp>)
    46893    0.010    0.000    0.010    0.000 {function RcParams.__getitem__ at 0x7f3170ba2dc0}
      213    0.009    0.000    0.058    0.000 artist.py:1446(get_aliases)
  483/211    0.008    0.000    0.022    0.000 sre_parse.py:493(_parse)
      100    0.008    0.000    0.008    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
    52377    0.008    0.000    0.008    0.000 {built-in method builtins.min}
      671    0.007    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
        2    0.007    0.004    0.007    0.004 {built-in method matplotlib.backends._tkagg.blit}
32360/32319    0.007    0.000    0.009    0.000 {built-in method builtins.hasattr}
    21387    0.007    0.000    0.007    0.000 {built-in method numpy.asarray}
    74061    0.007    0.000    0.007    0.000 {method 'lstrip' of 'str' objects}
     6509    0.007    0.000    0.012    0.000 inspect.py:2489(__init__)
        7    0.007    0.001    0.007    0.001 linalg.py:469(inv)
     7924    0.007    0.000    0.049    0.000 re.py:289(_compile)
      971    0.006    0.000    0.008    0.000 inspect.py:2772(__init__)
16010/16001    0.006    0.000    0.008    0.000 {method 'join' of 'str' objects}
  4344/72    0.006    0.000    0.015    0.000 copy.py:128(deepcopy)
    32376    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
     8545    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
        2    0.006    0.003    0.007    0.004 quiver.py:665(_h_arrows)
      694    0.006    0.000    0.016    0.000 inspect.py:2124(_signature_from_function)
      322    0.005    0.000    0.005    0.000 {built-in method io.open_code}
      626    0.005    0.000    0.020    0.000 artist.py:1180(_update_props)
     6764    0.005    0.000    0.078    0.000 inspect.py:606(getdoc)
      112    0.005    0.000    0.155    0.001 artist.py:1602(pprint_setters)
       36    0.005    0.000    0.008    0.000 enum.py:157(__new__)
8180/7150    0.005    0.000    0.008    0.000 artist.py:319(stale)
      592    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
     4050    0.004    0.000    0.009    0.000 artist.py:1559(aliased_name)
      772    0.004    0.000    0.004    0.000 {method 'getint' of '_tkinter.tkapp' objects}
 1076/208    0.004    0.000    0.010    0.000 sre_compile.py:71(_compile)
     7824    0.004    0.000    0.008    0.000 enum.py:313(__call__)
      101    0.004    0.000    0.006    0.000 linalg.py:1065(eigvalsh)
    372/1    0.004    0.000   11.108   11.108 {built-in method builtins.exec}
1576/1574    0.004    0.000    0.014    0.000 __init__.py:301(process)
    25375    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     3728    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x902780}
       72    0.004    0.000    0.022    0.000 text.py:363(_get_layout)
        4    0.004    0.001    0.004    0.001 {built-in method matplotlib._c_internal_utils.display_is_valid}
     6807    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
      801    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
  783/714    0.004    0.000    0.023    0.000 inspect.py:2218(_signature_from_callable)
     1685    0.004    0.000    0.017    0.000 fromnumeric.py:69(_wrapreduction)
    37246    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
     1222    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
       38    0.003    0.000    0.003    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      322    0.003    0.000    0.072    0.000 <frozen importlib._bootstrap_external>:914(get_code)
       58    0.003    0.000    0.012    0.000 __init__.py:1547(_substitute)
     1191    0.003    0.000    0.011    0.000 copy.py:258(_reconstruct)
        6    0.003    0.001    0.003    0.001 _base.py:799(get_window_extent)
     1659    0.003    0.000    0.009    0.000 copy.py:66(copy)
     3586    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
       30    0.003    0.000    0.022    0.001 __init__.py:835(_rc_params_in_file)
     6324    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
      814    0.003    0.000    0.005    0.000 functools.py:34(update_wrapper)
       38    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
     3586    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      584    0.003    0.000    0.003    0.000 transforms.py:194(set_children)
      512    0.003    0.000    0.004    0.000 __init__.py:1736(normalize_kwargs)
       52    0.003    0.000    0.003    0.000 {built-in method io.open}
     5304    0.003    0.000    0.039    0.000 re.py:198(search)
      398    0.003    0.000    0.098    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      644    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     1397    0.003    0.000    0.003    0.000 {built-in method numpy.array}
