LebwohlLasher: Size: 150, Steps: 150, T*: 0.500: Order: 0.281, Time: 80.334899 s
         2326740 function calls (2302657 primitive calls) in 107.440 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   80.600   80.600  106.755  106.755 run_LebwohlLasher.py:4(main)
        2   24.974   12.487   25.860   12.930 {method 'mainloop' of '_tkinter.tkapp' objects}
        2    0.108    0.054    0.125    0.063 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    45114    0.090    0.000    0.153    0.000 __init__.py:134(check_shape)
        2    0.081    0.041    0.081    0.041 {built-in method _tkinter.create}
      448    0.074    0.000    0.084    0.000 {method 'call' of '_tkinter.tkapp' objects}
    45108    0.067    0.000    0.367    0.000 path.py:99(__init__)
     1578    0.063    0.000    0.063    0.000 {built-in method posix.stat}
      322    0.049    0.000    0.049    0.000 {built-in method marshal.loads}
     6796    0.049    0.000    0.083    0.000 inspect.py:625(cleandoc)
        2    0.047    0.023    0.078    0.039 quiver.py:607(_make_verts)
    45108    0.044    0.000    0.114    0.000 path.py:202(_update_values)
       35    0.041    0.001    0.041    0.001 {built-in method _imp.create_dynamic}
        4    0.040    0.010    0.405    0.101 collections.py:1195(<listcomp>)
    97385    0.036    0.000    0.074    0.000 __init__.py:729(__getitem__)
3519/2294    0.028    0.000    0.097    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    97700    0.026    0.000    0.038    0.000 __init__.py:678(_get)
   135342    0.026    0.000    0.026    0.000 __init__.py:154(<genexpr>)
    45794    0.025    0.000    0.051    0.000 {built-in method builtins.any}
277154/276039    0.022    0.000    0.023    0.000 {built-in method builtins.len}
    45334    0.020    0.000    0.033    0.000 __init__.py:1337(_to_unmasked_float_array)
     9273    0.019    0.000    0.019    0.000 {method 'search' of 're.Pattern' objects}
1238/1125    0.019    0.000    0.327    0.000 {built-in method builtins.__build_class__}
      428    0.018    0.000    0.018    0.000 {built-in method builtins.dir}
    73261    0.016    0.000    0.019    0.000 {built-in method builtins.getattr}
     7969    0.015    0.000    0.019    0.000 enum.py:313(__call__)
    97705    0.012    0.000    0.012    0.000 {function RcParams.__getitem__ at 0x7fac49d98d30}
    71738    0.011    0.000    0.015    0.000 {built-in method builtins.isinstance}
      213    0.011    0.000    0.037    0.000 artist.py:1521(get_setters)
     4050    0.011    0.000    0.129    0.000 artist.py:1474(get_valid_values)
     1831    0.011    0.000    0.011    0.000 {method 'reduce' of 'numpy.ufunc' objects}
